DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
ZcTag090,180762,1.000000,Transmission,Mk10,3,12:00:00 29-Jul-2019,16:00:00 29-Jul-2019,,,,0.0,0.00,432.0,3.50,,,,,,,
ZcTag090,180762,1.000000,Transmission,Mk10,5,16:00:00 29-Jul-2019,20:00:00 29-Jul-2019,,,,0.0,0.00,1616.0,15.50,,,,,,,
ZcTag090,180762,1.000000,Transmission,Mk10,8,20:00:00 29-Jul-2019,00:00:00 30-Jul-2019,,,,0.0,0.00,1808.0,15.50,,,,,,,
ZcTag090,180762,1.000000,Transmission,Mk10,5,00:00:00 30-Jul-2019,04:00:00 30-Jul-2019,,,,0.0,0.00,1712.0,15.50,,,,,,,
ZcTag090,180762,1.000000,Transmission,Mk10,1,04:00:00 30-Jul-2019,08:00:00 30-Jul-2019,,,,0.0,0.00,1680.0,15.50,,,,,,,
ZcTag090,180762,1.000000,Transmission,Mk10,3,08:00:00 30-Jul-2019,12:00:00 30-Jul-2019,,,,0.0,0.00,1904.0,15.50,,,,,,,
ZcTag090,180762,1.000000,Transmission,Mk10,3,12:00:00 30-Jul-2019,16:00:00 30-Jul-2019,,,,0.0,0.00,1808.0,15.50,,,,,,,
ZcTag090,180762,1.000000,Transmission,Mk10,5,16:00:00 30-Jul-2019,20:00:00 30-Jul-2019,,,,0.0,0.00,2096.0,31.50,,,,,,,
ZcTag090,180762,1.000000,Transmission,Mk10,4,20:00:00 30-Jul-2019,00:00:00 31-Jul-2019,,,,0.0,0.00,832.0,7.50,,,,,,,
ZcTag090,180762,1.000000,Transmission,Mk10,2,00:00:00 31-Jul-2019,04:00:00 31-Jul-2019,,,,0.0,0.00,832.0,7.50,,,,,,,
ZcTag090,180762,1.000000,Transmission,Mk10,6,04:00:00 31-Jul-2019,08:00:00 31-Jul-2019,,,,0.0,0.00,76.0,0.50,,,,,,,
