DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ZcTag090,180762,Mk10,DS,2,0,2,16,16,15:52:31 29-Jul-2019,MA,B,35.9677,-74.7796,35.9677,-74.7796,5,,401677671,-132
ZcTag090,180762,Mk10,DS,6,0,5,23,16,16:36:55 29-Jul-2019,MC,0,35.9302,-74.8430,35.9302,-74.8430,55,,401677737,-127
ZcTag090,180762,Mk10,DS,2,0,1,15,15,21:32:13 29-Jul-2019,NK,B,35.8946,-74.7345,35.8946,-74.7345,8,,401677599,-137
ZcTag090,180762,Mk10,DS,4,0,4,40,15,21:52:06 29-Jul-2019,SR,0,35.5753,-74.1048,35.5753,-74.1048,56,,401677690,-135
ZcTag090,180762,Mk10,DS,1,0,1,,,23:02:53 29-Jul-2019,NK,B,35.4906,-74.2418,35.4906,-74.2418,8,,401677679,-137
ZcTag090,180762,Mk10,DS,7,0,7,31,15,00:23:28 30-Jul-2019,NN,0,35.6765,-74.6852,35.6765,-74.6852,48,,401677647,-129
ZcTag090,180762,Mk10,DS,3,0,3,17,15,01:35:46 30-Jul-2019,MA,A,35.4811,-74.8230,35.4811,-74.8230,7,,401677674,-120
ZcTag090,180762,Mk10,DS,1,0,1,,,03:17:35 30-Jul-2019,MA,B,35.4369,-74.9737,35.4369,-74.9737,8,,401677674,-134
ZcTag090,180762,Mk10,DS,2,0,1,19,19,08:52:33 30-Jul-2019,NP,B,35.7027,-74.4417,35.7027,-74.4417,8,,401677697,-139
ZcTag090,180762,Mk10,DS,3,0,1,47,31,09:06:49 30-Jul-2019,SR,A,35.6311,-74.6021,35.6311,-74.6021,6,,401677670,-131
ZcTag090,180762,Mk10,DS,5,0,4,46,16,10:41:12 30-Jul-2019,NP,0,35.4573,-74.6671,35.4573,-74.6671,46,,401677649,-124
ZcTag090,180762,Mk10,DS,6,1,4,,,10:41:05 30-Jul-2019,SR,0,35.6369,-74.1689,35.6369,-74.1689,46,,401677725,-127
ZcTag090,180762,Mk10,DS,3,0,3,15,15,12:55:12 30-Jul-2019,MC,A,35.5547,-74.4017,35.5547,-74.4017,8,,401677667,-131
ZcTag090,180762,Mk10,DS,7,0,6,22,15,14:23:10 30-Jul-2019,NN,0,35.5882,-74.5837,35.5882,-74.5837,45,,401677822,-124
ZcTag090,180762,Mk10,DS,1,0,1,,,15:12:49 30-Jul-2019,MB,B,35.6133,-74.5850,35.6133,-74.5850,8,,401677762,-132
ZcTag090,180762,Mk10,DS,7,0,4,20,15,20:21:02 30-Jul-2019,NP,1,35.5664,-74.3574,35.5664,-74.3574,58,,401677731,-129
ZcTag090,180762,Mk10,DS,6,0,5,18,15,22:01:11 30-Jul-2019,NP,0,35.5084,-74.6458,35.5084,-74.6458,48,,401677731,-126
ZcTag090,180762,Mk10,DS,2,0,1,43,43,00:19:16 31-Jul-2019,MC,B,35.7489,-74.6258,35.7489,-74.6258,8,,401677656,-131
ZcTag090,180762,Mk10,DS,3,0,1,34,20,00:19:24 31-Jul-2019,NK,A,35.5605,-74.2880,35.5605,-74.2880,6,,401677769,-129
ZcTag090,180762,Mk10,DS,3,0,3,42,19,00:41:50 31-Jul-2019,SR,A,35.3930,-74.5696,35.3930,-74.5696,6,,401677610,-132
ZcTag090,180762,Mk10,DS,1,0,1,,,08:44:35 31-Jul-2019,NP,B,35.6467,-74.7889,35.6467,-74.7889,8,,401677597,-138
ZcTag090,180762,Mk10,DS,2,0,2,16,16,10:07:24 31-Jul-2019,SR,B,35.6702,-74.8191,35.6702,-74.8191,6,,401677659,-137
ZcTag090,180762,Mk10,DS,1,0,1,,,12:11:22 31-Jul-2019,NP,B,35.6780,-74.8658,35.6780,-74.8658,7,,401677698,-139
ZcTag090,180762,Mk10,DS,3,0,2,33,30,12:37:29 31-Jul-2019,NK,B,35.9644,-74.5441,35.9644,-74.5441,6,,401677748,-130
ZcTag090,180762,Mk10,DS,8,0,8,22,15,14:20:47 31-Jul-2019,MC,0,35.5773,-74.7207,35.5773,-74.7207,48,,401677626,-124
ZcTag090,180762,Mk10,DS,1,0,1,,,15:56:39 31-Jul-2019,NN,B,35.4871,-74.7945,35.4871,-74.7945,7,,401677645,-137
ZcTag090,180762,Mk10,DS,3,0,2,43,37,15:58:12 31-Jul-2019,MC,A,35.5779,-74.6939,35.5779,-74.6939,6,,401677611,-123
ZcTag090,180762,Mk10,DS,2,0,2,20,20,21:53:25 31-Jul-2019,NP,B,35.7288,-74.7069,35.7288,-74.7069,7,,401677688,-137
ZcTag090,180762,Mk10,DS,3,0,3,24,16,00:03:39 01-Aug-2019,SR,A,35.7787,-74.5944,35.7787,-74.5944,6,,401677752,-129
ZcTag090,180762,Mk10,DS,2,0,2,49,49,00:04:01 01-Aug-2019,NK,B,35.6608,-74.8221,35.6608,-74.8221,8,,401677675,-133
ZcTag090,180762,Mk10,DS,1,0,1,,,02:12:24 01-Aug-2019,MB,B,35.8502,-74.7589,35.8502,-74.7589,8,,401677577,-133
ZcTag090,180762,Mk10,DS,4,0,3,21,16,09:48:24 01-Aug-2019,SR,0,35.6575,-74.8136,35.6575,-74.8136,48,,401677577,-136
ZcTag090,180762,Mk10,DS,7,0,5,23,15,10:09:44 01-Aug-2019,NP,0,35.8206,-74.7068,35.8206,-74.7068,46,,401677641,-130
ZcTag090,180762,Mk10,DS,8,0,7,26,16,11:21:11 01-Aug-2019,SR,1,35.7834,-74.4475,35.7834,-74.4475,58,,401677611,-130
ZcTag090,180762,Mk10,DS,2,0,2,57,57,15:38:53 01-Aug-2019,MC,B,35.7495,-74.2103,35.7495,-74.2103,8,,401677569,-124
ZcTag090,180762,Mk10,DS,2,0,1,38,38,15:39:03 01-Aug-2019,NN,B,35.8428,-74.2221,35.8428,-74.2221,7,,401677633,-135
ZcTag090,180762,Mk10,DS,1,0,1,,,23:16:44 01-Aug-2019,NP,B,35.8191,-74.3199,35.8191,-74.3199,8,,401677666,-140
ZcTag090,180762,Mk10,DS,12,0,9,41,15,23:36:13 01-Aug-2019,SR,0,35.8691,-74.5298,37.4364,-82.3391,40,,401677682,-124
ZcTag090,180762,Mk10,DS,12,0,8,41,15,23:36:13 01-Aug-2019,NK,0,35.8501,-74.4959,35.8501,-74.4959,40,,401677637,-125
ZcTag090,180762,Mk10,DS,5,0,5,27,14,01:19:41 02-Aug-2019,MC,0,35.8158,-74.4328,35.8158,-74.4328,58,,401677611,-125
ZcTag090,180762,Mk10,DS,3,0,3,18,14,01:21:06 02-Aug-2019,NN,A,35.7938,-74.4474,35.7938,-74.4474,6,,401677615,-129
ZcTag090,180762,Mk10,DS,1,0,1,,,01:45:30 02-Aug-2019,MB,B,35.7957,-74.4461,35.7957,-74.4461,6,,401677625,-133
ZcTag090,180762,Mk10,DS,5,0,4,24,16,09:10:26 02-Aug-2019,SR,0,35.8715,-74.1393,35.8715,-74.1393,58,,401677683,-133
ZcTag090,180762,Mk10,DS,4,0,3,26,17,10:46:21 02-Aug-2019,SR,0,35.7855,-74.0582,35.7855,-74.0582,47,,401677709,-133
ZcTag090,180762,Mk10,DS,2,0,2,81,81,15:17:07 02-Aug-2019,MC,B,35.9021,-74.0832,35.9021,-74.0832,8,,401677617,-119
ZcTag090,180762,Mk10,DS,4,0,4,199,33,00:50:47 03-Aug-2019,MC,0,36.0346,-74.1599,36.0346,-74.1599,58,,401677638,-128
