DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
GmTag226,180775,Mk10,Strong,28-Jul-2019,20:42:35,28-Jul-2019,20:42:37
GmTag226,180775,Mk10,Strong,22-Aug-2019,00:59:16,22-Aug-2019,00:59:20
