DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
GmTag226,180775,1.000000,Transmission,Mk10,49,17:51:00 28-Jul-2019,00:40:08 29-Jul-2019,Message,10,,,,24509.000000,24587.000000,,
GmTag226,180775,1.000000,Transmission,Mk10,49,17:51:00 28-Jul-2019,17:57:06 28-Jul-2019,Surface,,,,,365,367,35,331
GmTag226,180775,1.000000,Transmission,Mk10,49,17:57:06 28-Jul-2019,18:09:02 28-Jul-2019,Dive,1,V,552.0,567.0,715,717,,
GmTag226,180775,1.000000,Transmission,Mk10,49,18:09:02 28-Jul-2019,18:56:46 28-Jul-2019,Surface,,,,,2863,2865,277,2587
GmTag226,180775,1.000000,Transmission,Mk10,49,18:56:46 28-Jul-2019,19:05:16 28-Jul-2019,Dive,1,U,340.0,347.0,509,511,,
GmTag226,180775,1.000000,Transmission,Mk10,49,19:05:16 28-Jul-2019,23:53:16 28-Jul-2019,Surface,,,,,17250,17310,1672,15608
GmTag226,180775,1.000000,Transmission,Mk10,49,23:53:16 28-Jul-2019,00:01:40 29-Jul-2019,Dive,1,U,332.0,339.0,503,505,,
GmTag226,180775,1.000000,Transmission,Mk10,49,00:01:40 29-Jul-2019,00:07:26 29-Jul-2019,Surface,,,,,345,347,67,279
GmTag226,180775,1.000000,Transmission,Mk10,49,00:07:26 29-Jul-2019,00:20:08 29-Jul-2019,Dive,1,U,584.0,599.0,761,763,,
GmTag226,180775,1.000000,Transmission,Mk10,49,00:20:08 29-Jul-2019,00:27:02 29-Jul-2019,Surface,,,,,413,415,200,214
GmTag226,180775,1.000000,Transmission,Mk10,49,00:27:02 29-Jul-2019,00:40:08 29-Jul-2019,Dive,1,V,412.0,419.0,785,787,,
GmTag226,180775,1.000000,Transmission,Mk10,23,00:40:00 29-Jul-2019,04:11:04 29-Jul-2019,Message,9,,,,12655.000000,12673.000000,,
GmTag226,180775,1.000000,Transmission,Mk10,23,00:40:00 29-Jul-2019,00:44:00 29-Jul-2019,Surface,,,,,239,241,101,139
GmTag226,180775,1.000000,Transmission,Mk10,23,00:44:00 29-Jul-2019,00:58:50 29-Jul-2019,Dive,1,U,492.0,503.0,889,891,,
GmTag226,180775,1.000000,Transmission,Mk10,23,00:58:50 29-Jul-2019,01:03:22 29-Jul-2019,Surface,,,,,271,273,105,167
