DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
GmTag227,180765,1.000000,Transmission,Mk10,21,18:16:00 28-Jul-2019,22:15:32 28-Jul-2019,Message,9,,,,14363.000000,14381.000000,,
GmTag227,180765,1.000000,Transmission,Mk10,21,18:16:00 28-Jul-2019,19:35:42 28-Jul-2019,Surface,,,,,4781,4783,309,4473
GmTag227,180765,1.000000,Transmission,Mk10,21,19:35:42 28-Jul-2019,19:44:38 28-Jul-2019,Dive,1,U,105.0,106.0,535,537,,
GmTag227,180765,1.000000,Transmission,Mk10,21,19:44:38 28-Jul-2019,21:00:54 28-Jul-2019,Surface,,,,,4575,4577,295,4281
GmTag227,180765,1.000000,Transmission,Mk10,21,21:00:54 28-Jul-2019,21:09:18 28-Jul-2019,Dive,1,V,142.0,145.0,503,505,,
GmTag227,180765,1.000000,Transmission,Mk10,21,21:09:18 28-Jul-2019,21:38:18 28-Jul-2019,Surface,,,,,1739,1741,168,1572
GmTag227,180765,1.000000,Transmission,Mk10,21,21:38:18 28-Jul-2019,21:49:16 28-Jul-2019,Dive,1,U,552.0,567.0,657,659,,
GmTag227,180765,1.000000,Transmission,Mk10,21,21:49:16 28-Jul-2019,21:55:10 28-Jul-2019,Surface,,,,,353,355,69,285
GmTag227,180765,1.000000,Transmission,Mk10,21,21:55:10 28-Jul-2019,22:08:42 28-Jul-2019,Dive,1,U,536.0,551.0,811,813,,
GmTag227,180765,1.000000,Transmission,Mk10,21,22:08:42 28-Jul-2019,22:15:32 28-Jul-2019,Surface,,,,,409,411,79,331
GmTag227,180765,1.000000,Transmission,Mk10,25,22:15:00 28-Jul-2019,23:48:36 28-Jul-2019,Message,10,,,,5606.000000,5626.000000,,
GmTag227,180765,1.000000,Transmission,Mk10,25,22:15:00 28-Jul-2019,22:29:56 28-Jul-2019,Dive,1,U,568.0,583.0,895,897,,
GmTag227,180765,1.000000,Transmission,Mk10,25,22:29:56 28-Jul-2019,22:36:48 28-Jul-2019,Surface,,,,,411,413,106,306
GmTag227,180765,1.000000,Transmission,Mk10,25,22:36:48 28-Jul-2019,22:48:36 28-Jul-2019,Dive,1,U,584.0,599.0,707,709,,
GmTag227,180765,1.000000,Transmission,Mk10,25,22:48:36 28-Jul-2019,22:54:20 28-Jul-2019,Surface,,,,,343,345,78,266
