DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
GmTag227,180765,Mk10,20:45:31 28-Jul-2019,Argos,A,35.8591,-74.8533,,,,,,,,,,
GmTag227,180765,Mk10,21:52:49 28-Jul-2019,Argos,0,35.9059,-74.7962,2140,9975,459,19,,,,,,
GmTag227,180765,Mk10,22:30:50 28-Jul-2019,Argos,B,35.9150,-74.7915,1983,2239,1755,35,,,,,,
GmTag227,180765,Mk10,23:28:23 28-Jul-2019,Argos,A,35.9071,-74.7883,1340,3055,587,76,,,,,,
GmTag227,180765,Mk10,00:04:04 29-Jul-2019,Argos,0,35.9188,-74.7990,4687,42787,513,89,,,,,,
GmTag227,180765,Mk10,00:13:30 29-Jul-2019,Argos,B,35.9188,-74.8040,3634,14204,929,89,,,,,,
GmTag227,180765,Mk10,00:29:46 29-Jul-2019,Argos,1,35.9322,-74.7688,849,4366,164,58,,,,,,
GmTag227,180765,Mk10,01:01:19 29-Jul-2019,Argos,A,35.9087,-74.7577,2446,6964,858,72,,,,,,
GmTag227,180765,Mk10,01:33:02 29-Jul-2019,Argos,A,35.8976,-74.7497,3309,36916,296,67,,,,,,
GmTag227,180765,Mk10,02:09:04 29-Jul-2019,Argos,2,35.9092,-74.7874,314,411,239,133,,,,,,
GmTag227,180765,Mk10,02:34:03 29-Jul-2019,Argos,0,35.9199,-74.7932,1607,5559,464,60,,,,,,
GmTag227,180765,Mk10,09:12:27 29-Jul-2019,Argos,A,35.9907,-74.7732,3966,24493,642,86,,,,,,
GmTag227,180765,Mk10,09:31:49 29-Jul-2019,Argos,B,35.9878,-74.7959,3647,12515,1062,88,,,,,,
GmTag227,180765,Mk10,10:47:03 29-Jul-2019,Argos,1,35.9634,-74.7589,737,1098,494,99,,,,,,
GmTag227,180765,Mk10,11:14:48 29-Jul-2019,Argos,3,35.9709,-74.7314,189,255,140,80,,,,,,
GmTag227,180765,Mk10,11:51:44 29-Jul-2019,Argos,3,35.9730,-74.7358,133,220,80,81,,,,,,
GmTag227,180765,Mk10,12:38:10 29-Jul-2019,Argos,B,35.9687,-74.7301,1226,1562,962,91,,,,,,
GmTag227,180765,Mk10,12:55:13 29-Jul-2019,Argos,1,35.9740,-74.7656,600,1304,275,43,,,,,,
GmTag227,180765,Mk10,13:16:31 29-Jul-2019,Argos,B,35.9748,-74.7662,1717,2134,1380,82,,,,,,
GmTag227,180765,Mk10,13:31:51 29-Jul-2019,Argos,3,35.9968,-74.7493,208,416,103,161,,,,,,
GmTag227,180765,Mk10,14:19:02 29-Jul-2019,Argos,2,36.0226,-74.7503,264,1930,36,97,,,,,,
GmTag227,180765,Mk10,00:16:29 30-Jul-2019,Argos,1,36.2514,-74.7658,855,1937,377,37,,,,,,
GmTag227,180765,Mk10,00:39:18 30-Jul-2019,Argos,B,36.1962,-74.7592,2504,9967,629,83,,,,,,
GmTag227,180765,Mk10,00:45:12 30-Jul-2019,Argos,A,36.2200,-74.7582,3803,13190,1096,85,,,,,,
GmTag227,180765,Mk10,01:06:25 30-Jul-2019,Argos,B,36.2298,-74.7721,3569,35189,361,51,,,,,,
GmTag227,180765,Mk10,01:09:37 30-Jul-2019,Argos,B,36.2383,-74.7597,1247,3142,495,48,,,,,,
