DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
GmTag227,180765,1.000000,Mk10,,,20:44:57 28-Jul-2019,,A,35.8591,-74.8533,CRC,0,0,,474,3.376,1.000,0.136,25.00,2.0,0.0,-3,,,,,,,,,,,250,35,35,87,,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,20:45:17 28-Jul-2019,20:45:29 28-Jul-2019,12,A,35.8591,-74.8533,CRC,0,0,,,,1.008,0.140,,2.0,0.0,-3,,,,,,,,,,,172,35,35,87,,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,,20:46:09 28-Jul-2019,,A,35.8591,-74.8533,CRC,0,0,,476,3.312,1.000,0.128,25.00,2.0,0.0,-3,,,,,,,,,,,255,35,35,87,,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,,21:50:54 28-Jul-2019,,0,35.9059,-74.7962,CRC,0,0,,526,3.312,1.008,0.128,24.90,2.0,0.0,-3,,,,,,,,,,,246,35,35,87,,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,21:51:13 28-Jul-2019,21:51:25 28-Jul-2019,12,0,35.9059,-74.7962,CRC,0,0,,,,1.000,0.136,,3.0,0.0,-3,,,,,,,,,,,255,35,35,87,,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,21:52:21 28-Jul-2019,21:52:33 28-Jul-2019,12,0,35.9059,-74.7962,CRC,0,0,,,,1.000,0.168,,3.0,0.0,-3,,,,,,,,,,,196,35,35,87,,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,,21:54:22 28-Jul-2019,,0,35.9059,-74.7962,CRC,0,0,,532,3.376,1.008,0.132,25.00,3.0,0.0,-3,,,,,,,,,,,185,35,35,87,,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,,23:29:24 28-Jul-2019,,A,35.9071,-74.7883,CRC,0,0,,588,3.376,1.008,0.132,25.10,3.0,0.0,-3,,,,,,,,,,,193,35,35,87,,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,01:34:54 30-Jul-2019,01:35:06 30-Jul-2019,12,1,36.2519,-74.7581,CRC,0,0,,,,1.000,0.124,,3.0,872.0,-3,,,,,,,,,,,189,31,255,87,272,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,08:54:50 30-Jul-2019,08:55:02 30-Jul-2019,12,2,36.2142,-74.7438,CRC,0,0,,,,1.000,0.136,,3.0,872.0,-5,,,,,,,,,,,237,31,255,87,272,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,01:58:00 31-Jul-2019,01:58:12 31-Jul-2019,12,2,35.7063,-74.7930,CRC,0,0,,,,1.000,0.124,,2.0,776.0,-3,,,,,,,,,,,198,29,255,87,272,,,,,,,,,
GmTag227,180765,1.000000,Mk10,,,11:20:54 01-Aug-2019,,2,35.9493,-74.7808,CRC,0,0,,3148,3.440,1.000,0.120,25.30,3.0,980.0,-4,,,,,,,,,,,255,29,255,87,272,,,,,,,,,
