DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
GmTag225,180767,1.000000,Transmission,Mk10,20,17:15:00 28-Jul-2019,22:02:22 28-Jul-2019,Message,9,,,,17233.000000,17251.000000,,
GmTag225,180767,1.000000,Transmission,Mk10,20,17:15:00 28-Jul-2019,17:17:20 28-Jul-2019,Surface,,,,,139,141,23,117
GmTag225,180767,1.000000,Transmission,Mk10,20,17:17:20 28-Jul-2019,17:31:04 28-Jul-2019,Dive,1,U,308.0,315.0,823,825,,
GmTag225,180767,1.000000,Transmission,Mk10,20,17:31:04 28-Jul-2019,17:35:32 28-Jul-2019,Surface,,,,,267,269,43,225
GmTag225,180767,1.000000,Transmission,Mk10,20,17:35:32 28-Jul-2019,17:47:20 28-Jul-2019,Dive,1,U,244.0,251.0,707,709,,
GmTag225,180767,1.000000,Transmission,Mk10,20,17:47:20 28-Jul-2019,18:38:26 28-Jul-2019,Surface,,,,,3065,3067,99,2967
GmTag225,180767,1.000000,Transmission,Mk10,20,18:38:26 28-Jul-2019,18:50:00 28-Jul-2019,Dive,1,U,632.0,647.0,693,695,,
GmTag225,180767,1.000000,Transmission,Mk10,20,18:50:00 28-Jul-2019,21:50:16 28-Jul-2019,Surface,,,,,10815,10817,349,10467
GmTag225,180767,1.000000,Transmission,Mk10,20,21:50:16 28-Jul-2019,21:58:58 28-Jul-2019,Dive,1,U,324.0,331.0,521,523,,
GmTag225,180767,1.000000,Transmission,Mk10,20,21:58:58 28-Jul-2019,22:02:22 28-Jul-2019,Surface,,,,,203,205,59,145
GmTag225,180767,1.000000,Transmission,Mk10,15,22:02:00 28-Jul-2019,00:08:08 29-Jul-2019,Message,10,,,,7558.000000,7578.000000,,
GmTag225,180767,1.000000,Transmission,Mk10,15,22:02:00 28-Jul-2019,22:12:08 28-Jul-2019,Dive,1,U,292.0,299.0,607,609,,
GmTag225,180767,1.000000,Transmission,Mk10,15,22:12:08 28-Jul-2019,22:13:42 28-Jul-2019,Surface,,,,,93,95,21,73
GmTag225,180767,1.000000,Transmission,Mk10,15,22:13:42 28-Jul-2019,22:20:58 28-Jul-2019,Dive,1,V,428.0,435.0,435,437,,
GmTag225,180767,1.000000,Transmission,Mk10,15,22:20:58 28-Jul-2019,22:28:18 28-Jul-2019,Surface,,,,,439,441,57,383
GmTag225,180767,1.000000,Transmission,Mk10,15,22:28:18 28-Jul-2019,22:38:32 28-Jul-2019,Dive,1,Square,252.0,259.0,613,615,,
GmTag225,180767,1.000000,Transmission,Mk10,15,22:38:32 28-Jul-2019,23:00:12 28-Jul-2019,Surface,,,,,1299,1301,84,1216
GmTag225,180767,1.000000,Transmission,Mk10,15,23:00:12 28-Jul-2019,23:09:20 28-Jul-2019,Dive,1,U,308.0,315.0,547,549,,
GmTag225,180767,1.000000,Transmission,Mk10,15,23:09:20 28-Jul-2019,23:55:50 28-Jul-2019,Surface,,,,,2789,2791,180,2610
