DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
GmTag225,180767,Mk10,Strong,28-Jul-2019,20:44:27,28-Jul-2019,20:44:30
GmTag225,180767,Mk10,Strong,08-Aug-2019,01:51:26,08-Aug-2019,01:51:30
