DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
ZcTag086,180759,Mk10,Strong,29-May-2019,00:40:14,29-May-2019,00:40:16
ZcTag086,180759,Mk10,Strong,08-Jun-2019,01:53:55,08-Jun-2019,01:53:59
