DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ZcTag095,180766,Mk10,DS,4,2,1,,,22:51:29 12-Aug-2019,NP,0,35.7581,-74.8426,35.7581,-74.8426,50,,401677609,-129
ZcTag095,180766,Mk10,DS,4,3,0,,,22:51:54 12-Aug-2019,SR,2,35.7452,-74.8324,35.7452,-74.8324,56,,401677678,-120
ZcTag095,180766,Mk10,DS,3,0,2,262,15,00:42:56 13-Aug-2019,MC,A,35.7845,-74.7414,35.7845,-74.7414,8,,401677647,-132
ZcTag095,180766,Mk10,DS,2,0,0,15,15,00:51:32 13-Aug-2019,NN,B,35.7235,-74.8403,35.7235,-74.8403,6,,401677633,-130
ZcTag095,180766,Mk10,DS,3,0,2,23,15,01:22:24 13-Aug-2019,MB,A,35.7674,-74.7198,35.7674,-74.7198,8,,401677581,-130
ZcTag095,180766,Mk10,DS,4,1,1,,,01:42:14 13-Aug-2019,MA,0,35.7268,-74.6430,35.7268,-74.6430,46,,401677644,-121
ZcTag095,180766,Mk10,DS,1,0,1,,,03:27:01 13-Aug-2019,MA,B,35.7152,-74.6136,35.7152,-74.6136,8,,401677608,-132
ZcTag095,180766,Mk10,DS,5,0,1,17,15,10:07:13 13-Aug-2019,SR,1,35.6857,-74.7105,35.6857,-74.7105,58,,401677646,-120
ZcTag095,180766,Mk10,DS,4,0,3,26,17,13:54:00 13-Aug-2019,NK,0,35.7212,-74.8850,35.7212,-74.8850,48,,401677637,-133
ZcTag095,180766,Mk10,DS,6,1,2,,,14:56:56 13-Aug-2019,NN,0,35.7405,-74.5445,35.7405,-74.5445,58,,401677674,-135
ZcTag095,180766,Mk10,DS,1,0,1,,,16:31:59 13-Aug-2019,MC,B,35.7566,-74.5268,35.7566,-74.5268,8,,401677661,-131
ZcTag095,180766,Mk10,DS,1,0,1,,,21:54:21 13-Aug-2019,NK,B,35.8004,-74.4647,35.8004,-74.4647,8,,401677673,-137
ZcTag095,180766,Mk10,DS,3,0,1,30,20,23:27:28 13-Aug-2019,NK,A,35.5194,-74.7312,35.5194,-74.7312,8,,401677646,-132
ZcTag095,180766,Mk10,DS,5,0,1,18,15,00:41:11 14-Aug-2019,NN,0,35.6226,-74.7148,35.6226,-74.7148,48,,401677651,-128
ZcTag095,180766,Mk10,DS,1,0,1,,,01:09:14 14-Aug-2019,NK,B,35.6247,-74.7361,35.6247,-74.7361,6,,401677656,-132
ZcTag095,180766,Mk10,DS,5,0,4,158,16,01:20:43 14-Aug-2019,MA,0,35.6482,-74.5993,35.6482,-74.5993,56,,401677599,-125
ZcTag095,180766,Mk10,DS,5,0,3,26,17,02:06:57 14-Aug-2019,MC,0,35.6806,-74.7922,35.6806,-74.7922,46,,401677624,-113
ZcTag095,180766,Mk10,DS,1,0,0,,,02:22:32 14-Aug-2019,NN,B,35.6798,-74.7887,35.6798,-74.7887,6,,401677590,-135
ZcTag095,180766,Mk10,DS,1,0,1,,,03:44:50 14-Aug-2019,MC,B,35.6916,-74.9223,35.6916,-74.9223,7,,401677613,-130
ZcTag095,180766,Mk10,DS,5,0,5,22,16,11:04:06 14-Aug-2019,NP,1,35.6681,-74.7785,35.6681,-74.7785,58,,401677618,-121
ZcTag095,180766,Mk10,DS,4,0,4,26,16,13:43:09 14-Aug-2019,MA,0,35.7318,-74.7307,35.7318,-74.7307,57,,401677655,-124
ZcTag095,180766,Mk10,DS,4,0,2,47,22,14:51:57 14-Aug-2019,NN,0,35.6493,-74.6809,35.6493,-74.6809,48,,401677644,-127
ZcTag095,180766,Mk10,DS,4,0,1,31,19,22:31:57 14-Aug-2019,NP,0,35.7893,-74.7208,35.7893,-74.7208,58,,401677626,-128
ZcTag095,180766,Mk10,DS,4,0,4,62,25,23:30:11 14-Aug-2019,SR,0,35.7526,-74.7849,35.7526,-74.7849,46,,401677651,-122
ZcTag095,180766,Mk10,DS,1,0,0,,,00:48:21 15-Aug-2019,NK,B,35.7344,-74.8231,35.7344,-74.8231,8,,401677653,-135
ZcTag095,180766,Mk10,DS,3,0,2,29,18,01:04:09 15-Aug-2019,MA,,,,,,,,401650000,
ZcTag095,180766,Mk10,DS,5,0,4,22,17,01:46:29 15-Aug-2019,MC,1,35.6981,-74.6740,35.6981,-74.6740,58,,401677634,-114
