DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ZcTag095,180766,Mk10,22:51:29 12-Aug-2019,Argos,0,35.7581,-74.8426,1806,6596,494,145,,,,,,
ZcTag095,180766,Mk10,22:51:54 12-Aug-2019,Argos,2,35.7452,-74.8324,431,1247,149,101,,,,,,
ZcTag095,180766,Mk10,00:42:56 13-Aug-2019,Argos,A,35.7845,-74.7414,3578,31068,412,174,,,,,,
ZcTag095,180766,Mk10,00:51:32 13-Aug-2019,Argos,B,35.7235,-74.8403,3809,5223,2778,95,,,,,,
ZcTag095,180766,Mk10,01:22:24 13-Aug-2019,Argos,A,35.7674,-74.7198,3238,12238,856,89,,,,,,
ZcTag095,180766,Mk10,01:42:14 13-Aug-2019,Argos,0,35.7268,-74.6430,5374,16723,1726,71,,,,,,
ZcTag095,180766,Mk10,03:27:01 13-Aug-2019,Argos,B,35.7152,-74.6136,8347,12629,5517,83,,,,,,
ZcTag095,180766,Mk10,10:07:13 13-Aug-2019,Argos,1,35.6857,-74.7105,971,8618,109,59,,,,,,
ZcTag095,180766,Mk10,13:54:00 13-Aug-2019,Argos,0,35.7212,-74.8850,8096,26109,2510,26,,,,,,
ZcTag095,180766,Mk10,14:56:56 13-Aug-2019,Argos,0,35.7405,-74.5445,4938,36574,666,132,,,,,,
ZcTag095,180766,Mk10,16:31:59 13-Aug-2019,Argos,B,35.7566,-74.5268,5126,8945,2937,123,,,,,,
ZcTag095,180766,Mk10,21:54:21 13-Aug-2019,Argos,B,35.8004,-74.4647,14088,21386,9280,65,,,,,,
ZcTag095,180766,Mk10,23:27:28 13-Aug-2019,Argos,A,35.5194,-74.7312,5894,27026,1285,79,,,,,,
ZcTag095,180766,Mk10,00:41:11 14-Aug-2019,Argos,0,35.6226,-74.7148,14977,190519,1177,88,,,,,,
ZcTag095,180766,Mk10,01:09:14 14-Aug-2019,Argos,B,35.6247,-74.7361,12275,51014,2953,87,,,,,,
ZcTag095,180766,Mk10,01:20:43 14-Aug-2019,Argos,0,35.6482,-74.5993,4132,12328,1384,118,,,,,,
