DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
ZcTag095,180766,1.000000,Mk10,,,12:58:18 15-Aug-2019,,0,35.6599,-74.5412,CRC,0,0,,1438,3.312,1.000,0.140,28.10,2.0,1552.0,-3,,,,,,,,,,,156,29,255,90,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,,10:31:29 17-Aug-2019,,Z,35.4561,-74.3365,CRC,0,0,,2142,3.376,1.008,0.132,27.30,2.0,1608.0,-2,,,,,,,,,,,232,28,255,90,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,,21:31:57 19-Aug-2019,,A,35.6577,-75.1267,CRC,0,0,,2910,3.312,1.008,0.140,28.70,2.0,1608.0,-2,,,,,,,,,,,199,28,255,90,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,,11:28:40 21-Aug-2019,,0,35.6241,-74.6043,CRC,0,0,,3358,3.312,1.008,0.132,28.90,1.0,1468.0,-2,,,,,,,,,,,255,28,255,90,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,,12:41:49 24-Aug-2019,,0,35.7426,-74.8301,CRC,0,0,,4318,3.440,1.008,0.152,27.60,1.0,1652.0,-2,,,,,,,,,,,232,27,255,90,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,,10:58:09 28-Aug-2019,,0,35.3932,-74.5672,,0,0,,5726,3.312,1.008,0.136,28.60,1.0,1908.0,-2,,,,,,,,,,,170,27,255,90,310,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,,23:29:23 29-Aug-2019,,0,35.1700,-74.7959,CRC,0,0,,6238,3.376,1.008,0.164,29.20,2.0,1944.0,-1,,,,,,,,,,,193,27,255,90,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,14:06:52 04-Sep-2019,14:06:39 04-Sep-2019,-12,0,35.4656,-74.4645,CRC,0,0,,,,1.008,0.140,,1.0,1880.0,-1,,,,,,,,,,,245,26,255,90,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,,12:15:15 06-Sep-2019,,Z,35.7260,-74.9191,,0,0,,8606,3.376,1.008,0.140,28.90,-15.0,2224.0,-1,,,,,,,,,,,,10,191,90,50773,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,,15:26:30 12-Sep-2019,,0,35.1001,-75.0573,,0,0,,10654,3.312,1.008,0.148,27.60,-40.0,1268.0,-2,,,,,,,,,,,,12,226,74,59816,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,09:00:21 13-Sep-2019,09:00:06 13-Sep-2019,-14,B,35.3744,-74.7643,CRC,0,0,,,,1.008,0.140,,1.0,1232.0,-1,,,,,,,,,,,247,27,255,90,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,01:24:07 14-Sep-2019,01:23:52 14-Sep-2019,-14,0,35.1976,-74.8736,CRC,0,0,,,,1.008,0.140,,1.0,2340.0,-2,,,,,,,,,,,241,26,255,90,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,,02:05:40 15-Sep-2019,,1,35.1322,-75.1122,CRC,0,0,,11486,3.376,1.008,0.132,26.80,1.0,1768.0,-2,,,,,,,,,,,146,26,255,80,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,14:24:58 15-Sep-2019,14:24:42 15-Sep-2019,-15,0,35.0207,-75.0356,CRC,0,0,,,,1.008,0.156,,0.0,1768.0,-1,,,,,,,,,,,87,26,255,80,256,,,,,,,,,
ZcTag095,180766,1.000000,Mk10,,11:12:05 17-Sep-2019,11:11:49 17-Sep-2019,-15,B,34.7650,-75.2111,CRC,0,0,,,,1.008,0.140,,2.0,2396.0,-2,,,,,,,,,,,108,26,255,80,256,,,,,,,,,
