"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"ZcTag094",180772,16605,,,,,,,67,NP,,401650000,07/30/2019 20:15:42,1,4,0,-134,401650000,,,,,,,,,,,,222,171,173,253,8,0,248,60,60,124,60,60,60,60,60,56,60,60,60,60,62,96,161,81,193,156,95,59,191,251,248,
"ZcTag094",180772,16605,,,,,,,67,NP,,401650000,07/30/2019 20:16:29,2,4,0,-134,401650000,,,,,,,,,,,,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,156,95,59,191,251,248,
"ZcTag094",180772,16605,,,,,,,67,NP,,401650000,07/30/2019 20:16:49,1,4,0,-134,401650000,,,,,,,,,,,,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,156,95,59,63,251,248,
"ZcTag094",180772,16605,35.59364,-74.74721,A,07/30/2019 22:47:37,Argos,0,88,NK,,401650000,07/30/2019 22:47:03,1,3,0,-130,401650000,-74.74721,35.59364,-74.74721,35.59364,6,3,0,0,0,50,3752,222,171,173,253,8,0,176,60,60,28,188,60,124,28,60,60,60,53,0,0,131,58,153,174,126,67,195,79,164,140,134,
"ZcTag094",180772,16605,35.59364,-74.74721,A,07/30/2019 22:47:37,Argos,0,88,NK,,401650000,07/30/2019 22:47:18,1,3,0,-130,401650000,-74.74721,35.59364,-74.74721,35.59364,6,3,0,0,0,50,3752,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,52,60,60,60,60,96,161,81,193,156,95,59,191,251,248,
"ZcTag094",180772,16605,35.59364,-74.74721,A,07/30/2019 22:47:37,Argos,0,88,NK,,401650000,07/30/2019 22:48:31,1,3,0,-130,401650000,-74.74721,35.59364,-74.74721,35.59364,6,3,0,0,0,50,3752,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,156,95,59,191,251,248,
"ZcTag094",180772,16605,35.55103,-74.68076,2,07/30/2019 22:59:39,Argos,0,94,SR,,401677680.88,07/30/2019 22:59:51,4,6,2,-118,401677680.88,-74.68076,35.55103,-64.64026,33.54618,50,3,287,853,96,60,540,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,156,95,59,191,251,248,
"ZcTag094",180772,16605,35.55103,-74.68076,2,07/30/2019 22:59:39,Argos,0,94,SR,,401677680.88,07/30/2019 23:00:07,1,6,2,-118,401677680.88,-74.68076,35.55103,-64.64026,33.54618,50,3,287,853,96,60,540,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,36,204,101,36,235,130,139,96,210,93,133,243,253,
"ZcTag094",180772,16605,35.55103,-74.68076,2,07/30/2019 22:59:39,Argos,0,94,SR,,401677680.88,07/30/2019 23:00:27,1,6,2,-118,401677680.88,-74.68076,35.55103,-64.64026,33.54618,50,3,287,853,96,60,540,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,114,111,226,154,34,14,
"ZcTag094",180772,16605,35.5725,-74.65791,A,07/31/2019 00:08:25,Argos,0,66,NN,,401677683.35,07/31/2019 00:08:25,1,3,0,-127,401677683.35,-74.65791,35.5725,-74.65791,35.5725,8,3,897,2700,297,119,2137,209,58,157,253,72,0,123,114,98,26,163,124,246,90,13,16,35,142,201,82,113,113,140,20,165,159,125,133,7,167,234,
"ZcTag094",180772,16605,35.5725,-74.65791,A,07/31/2019 00:08:25,Argos,0,66,NN,,401677683.35,07/31/2019 00:08:58,1,3,0,-127,401677683.35,-74.65791,35.5725,-74.65791,35.5725,8,3,897,2700,297,119,2137,209,58,157,253,72,0,123,114,66,42,129,33,129,165,70,251,255,251,183,36,197,128,64,68,4,4,64,72,68,6,99,
"ZcTag094",180772,16605,35.5725,-74.65791,A,07/31/2019 00:08:25,Argos,0,66,NN,,401677683.35,07/31/2019 00:09:31,1,3,0,-127,401677683.35,-74.65791,35.5725,-74.65791,35.5725,8,3,897,2700,297,119,2137,209,58,157,253,72,0,123,114,66,42,129,33,129,165,70,251,255,251,183,36,197,128,64,68,4,1,206,104,22,18,77,
"ZcTag094",180772,16605,35.58164,-74.66616,B,07/31/2019 00:24:26,Argos,0,14,NK,,401677683.03,07/31/2019 00:24:19,1,2,0,-123,401677683.03,-74.66616,35.58164,-74.66616,35.58164,6,3,1082,1595,733,102,2000,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,156,95,59,191,251,248,
"ZcTag094",180772,16605,35.58164,-74.66616,B,07/31/2019 00:24:26,Argos,0,14,NK,,401677683.03,07/31/2019 00:24:34,1,2,0,-123,401677683.03,-74.66616,35.58164,-74.66616,35.58164,6,3,1082,1595,733,102,2000,209,58,157,253,72,0,123,114,66,42,129,33,129,165,70,251,255,251,183,36,197,128,64,68,4,4,64,64,68,4,64,
"ZcTag094",180772,16605,35.58119,-74.67587,B,07/31/2019 00:39:29,Argos,0,24,SR,,401677663.93,07/31/2019 00:39:17,1,2,0,-129,401677663.93,-74.67587,35.58119,-74.67587,35.58119,8,3,1831,2819,1188,121,2452,222,171,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZcTag094",180772,16605,35.58119,-74.67587,B,07/31/2019 00:39:29,Argos,0,24,SR,,401677663.93,07/31/2019 00:39:41,1,2,0,-129,401677663.93,-74.67587,35.58119,-74.67587,35.58119,8,3,1831,2819,1188,121,2452,209,58,157,253,72,0,123,114,66,42,129,33,129,165,70,251,255,251,183,36,197,128,64,68,4,4,64,64,68,12,9,
"ZcTag094",180772,16605,35.58377,-74.67781,B,07/31/2019 00:51:38,Argos,0,0,MB,,401677666.08,07/31/2019 00:51:38,1,1,0,-133,401677666.08,-74.67781,35.58377,-74.67781,35.58377,6,3,1541,2143,1107,102,2524,222,171,173,251,8,1,184,60,60,24,60,60,60,60,60,60,221,195,135,199,193,63,109,136,60,227,224,193,48,115,206,
