DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,LocationQuality,Latitude,Longitude,Depth,DRange,Temperature,TRange,Activity,ARange
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,18:20:00,,,,351.0,44.00,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,18:25:00,,,,273.0,43.00,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,18:30:00,,,,49.0,11.00,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,18:35:00,,,,273.0,43.00,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,18:40:00,,,,136.0,21.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,18:45:00,,,,97.0,21.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,18:50:00,,,,214.0,22.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,18:55:00,,,,10.0,10.00,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,19:00:00,,,,175.0,22.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,19:05:00,,,,214.0,22.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,19:10:00,,,,29.0,10.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,19:15:00,,,,214.0,22.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,19:20:00,,,,623.0,86.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,19:25:00,,,,934.0,90.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,19:30:00,,,,934.0,90.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,19:35:00,,,,1091.0,93.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,19:40:00,,,,1091.0,93.50,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,30-Jul-2019,19:45:00,,,,934.0,90.50,,,,
