Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
16605,180772,31,NP, ,1,30-Jul-2019,20:16:49,,,,401650000,-134,,0,30-Jul-2019,20:15:42,,,67,,,,,,,222,171,173,253,8,0,248,60,60,124,60,60,60,60,60,56,60,60,60,60,62,96,161,81,193,156,95,59,191,251,248,
16605,180772,31,NP, ,1,30-Jul-2019,20:16:49,,,,401650000,-134,,1,30-Jul-2019,20:16:29,,,67,,,,,,,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,156,95,59,191,251,248,
16605,180772,31,NP, ,1,30-Jul-2019,20:16:49,,,,401650000,-134,,0,30-Jul-2019,20:16:49,,,67,,,,,,,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,156,95,59,63,251,248,
16605,180772,31,NK,A,2,30-Jul-2019,22:47:37,35.5936,-74.7472,,401650000,-130,6,0,30-Jul-2019,22:47:03,35.5936,-74.7472,88,,,,,,,222,171,173,253,8,0,176,60,60,28,188,60,124,28,60,60,60,53,0,0,131,58,153,174,126,67,195,79,164,140,134,
16605,180772,31,NK,A,2,30-Jul-2019,22:47:37,35.5936,-74.7472,,401650000,-130,6,0,30-Jul-2019,22:47:18,35.5936,-74.7472,88,,,,,,,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,52,60,60,60,60,96,161,81,193,156,95,59,191,251,248,
16605,180772,31,NK,A,2,30-Jul-2019,22:47:37,35.5936,-74.7472,,401650000,-130,6,0,30-Jul-2019,22:48:31,35.5936,-74.7472,88,,,,,,,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,156,95,59,191,251,248,
16605,180772,31,SR,2,3,30-Jul-2019,22:59:39,35.5510,-74.6808,,401677680,-118,50,3,30-Jul-2019,22:59:51,33.5462,-64.6403,36,287,853,96,60,,,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,156,95,59,191,251,248,
16605,180772,31,SR,2,3,30-Jul-2019,22:59:39,35.5510,-74.6808,,401677680,-118,50,0,30-Jul-2019,23:00:07,33.5462,-64.6403,36,287,853,96,60,,,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,36,204,101,36,235,130,139,96,210,93,133,243,253,
16605,180772,31,SR,2,3,30-Jul-2019,22:59:39,35.5510,-74.6808,,401677680,-118,50,0,30-Jul-2019,23:00:27,33.5462,-64.6403,36,287,853,96,60,,,222,171,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,193,114,111,226,154,34,14,
16605,180772,31,NN,A,4,31-Jul-2019,00:08:25,35.5725,-74.6579,,401677683,-127,8,0,31-Jul-2019,00:08:25,35.5725,-74.6579,66,897,2700,297,119,,,209,58,157,253,72,0,123,114,98,26,163,124,246,90,13,16,35,142,201,82,113,113,140,20,165,159,125,133,7,167,234,
