DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
ZcTag094,180772,Mk10,00:39:17 31-Jul-2019,,,B,35.5812,-74.6759,Too short,,TimeSeries,222,171,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZcTag094,180772,Mk10,00:51:38 31-Jul-2019,,,B,35.5838,-74.6778,CRC 60090.16619,16:00:00 29-Jul-2019,TimeSeries,222,171,173,251,8,1,184,60,60,24,60,60,60,60,60,60,221,195,135,199,193,63,109,136,60,227,224,193,48,115,206,
ZcTag094,180772,Mk10,10:18:10 31-Jul-2019,,,0,35.9613,-74.7689,CRC 51898.48916,16:00:00 30-Jul-2019,TimeSeries,220,171,173,253,8,0,184,28,60,60,60,188,60,60,60,60,28,60,60,60,189,64,51,119,217,152,159,59,255,251,248,
ZcTag094,180772,Mk10,10:20:08 31-Jul-2019,,,B,35.6929,-74.3355,CRC 48855.15709,,TimeSeries,219,237,127,250,8,1,106,100,102,198,36,164,227,46,102,106,209,50,195,48,42,130,106,50,98,102,38,101,166,102,100,
ZcTag094,180772,Mk10,22:22:27 31-Jul-2019,,,B,36.2430,-74.1425,Too short,,TimeSeries,223,218,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZcTag094,180772,Mk10,00:04:26 01-Aug-2019,,,B,36.1500,-74.2510,CRC 62466.15387,00:04:26 01-Aug-2019,Status,4,165,74,1,23,3,225,50,39,245,16,37,136,20,127,252,252,4,3,244,2,95,192,,,,,,,,,
ZcTag094,180772,Mk10,02:03:05 01-Aug-2019,,,A,35.9230,-74.4806,CRC 5033.59466,20:00:00 28-Jul-2018,TimeSeries,209,58,153,249,76,0,123,114,66,42,129,33,129,165,70,115,244,4,183,37,225,135,255,100,1,2,159,187,128,68,69,
ZcTag094,180772,Mk10,02:03:26 01-Aug-2019,,,A,35.9230,-74.4806,CRC 61114.64354,16:00:00 30-Jul-2019,TimeSeries,222,235,173,253,8,0,184,60,60,60,60,60,60,60,60,60,60,60,60,60,62,96,161,81,201,157,95,59,191,59,248,
ZcTag094,180772,Mk10,10:36:43 01-Aug-2019,,,0,35.7201,-74.1361,CRC 64939.25734,,TimeSeries,223,218,188,18,149,96,189,61,224,253,13,153,182,53,214,242,115,45,64,246,135,10,227,116,74,39,149,16,156,17,161,
ZcTag094,180772,Mk10,15:38:35 01-Aug-2019,,,0,35.7661,-74.3572,CRC 9221.29178,08:00:00 01-Aug-2019,TimeSeries,210,64,94,2,140,75,175,10,253,136,32,9,99,38,133,225,237,101,244,64,132,192,77,194,248,196,196,12,224,129,194,
ZcTag094,180772,Mk10,15:38:35 01-Aug-2019,,,0,36.1534,-74.2441,CRC 9221.25711,00:00:00 17-Oct-2019,TimeSeries,210,64,94,162,6,241,202,135,30,39,127,221,121,66,33,25,247,22,180,240,95,172,5,253,175,194,53,99,83,194,199,
ZcTag094,180772,Mk10,15:39:17 01-Aug-2019,,,0,36.1534,-74.2441,CRC 51424.7570,16:00:00 29-Jul-2019,TimeSeries,220,142,13,251,8,3,248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,55,237,128,0,0,,,,,
ZcTag094,180772,Mk10,21:53:22 01-Aug-2019,,,A,35.7440,-74.2255,CRC 64959.15784,08:00:00 31-Jul-2019,TimeSeries,223,219,253,254,136,1,120,0,0,20,130,17,51,127,187,183,50,166,13,30,16,21,156,21,225,129,94,28,35,51,188,
ZcTag094,180772,Mk10,23:33:38 01-Aug-2019,,,0,35.9439,-74.2075,CRC 24102.40459,08:00:00 01-Oct-2019,TimeSeries,213,226,110,130,136,2,128,,,,,,,,,,,,,,,,,,,,,,,,,
ZcTag094,180772,Mk10,01:19:57 02-Aug-2019,,,0,36.1391,-74.5850,CRC 18276.56659,20:00:00 31-Jul-2019,TimeSeries,212,118,77,255,72,0,128,204,204,204,204,204,205,134,102,39,39,167,226,227,99,51,230,35,1,115,98,99,35,51,115,
