DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
ZcTag094,180772,1.000000,Transmission,Mk10,22,16:00:00 30-Jul-2019,20:00:00 30-Jul-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,19,20:00:00 30-Jul-2019,00:00:00 31-Jul-2019,,,,0.0,0.00,1104.0,15.50,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,12,00:00:00 31-Jul-2019,04:00:00 31-Jul-2019,,,,0.0,0.00,70.0,0.50,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,10,04:00:00 31-Jul-2019,08:00:00 31-Jul-2019,,,,0.0,0.00,108.0,0.50,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,8,08:00:00 31-Jul-2019,12:00:00 31-Jul-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,6,12:00:00 31-Jul-2019,16:00:00 31-Jul-2019,,,,0.0,0.00,1392.0,15.50,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,7,16:00:00 31-Jul-2019,20:00:00 31-Jul-2019,,,,0.0,0.00,2000.0,15.50,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,11,20:00:00 31-Jul-2019,00:00:00 01-Aug-2019,,,,0.0,0.00,3.0,0.00,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,4,00:00:00 01-Aug-2019,04:00:00 01-Aug-2019,,,,0.0,0.00,108.0,0.50,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,3,04:00:00 01-Aug-2019,08:00:00 01-Aug-2019,,,,0.0,0.00,116.0,1.50,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,3,08:00:00 01-Aug-2019,12:00:00 01-Aug-2019,,,,0.0,0.00,11.0,0.00,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,3,12:00:00 01-Aug-2019,16:00:00 01-Aug-2019,,,,0.0,0.00,248.0,3.50,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,2,16:00:00 01-Aug-2019,20:00:00 01-Aug-2019,,,,0.0,0.00,1.0,0.00,,,,,,,
ZcTag094,180772,1.000000,Transmission,Mk10,1,20:00:00 01-Aug-2019,00:00:00 02-Aug-2019,,,,0.0,0.00,2.0,0.00,,,,,,,
