DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
GmTag224,180760,Mk10,Strong,28-Jul-2019,15:46:56,28-Jul-2019,15:47:01
GmTag224,180760,Mk10,Strong,28-Aug-2019,15:39:39,28-Aug-2019,15:39:47
