DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
GmTag224,180760,1.000000,Mk10,,15:46:56 28-Jul-2019,15:47:01 28-Jul-2019,5,1,41.4763,-103.3251,CRC,0,0,,,,1.024,0.128,,0.0,0.0,0,,,,,,,,,,,190,32,32,150,,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,15:47:33 28-Jul-2019,,1,41.4763,-103.3251,CRC,0,0,,385,3.120,1.024,0.128,25.20,1.0,0.0,0,,,,,,,,,,,234,32,32,150,,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,15:48:04 28-Jul-2019,15:48:09 28-Jul-2019,5,1,41.4763,-103.3251,CRC,0,0,,,,1.024,0.128,,1.0,0.0,0,,,,,,,,,,,225,32,32,150,,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,00:32:35 29-Jul-2019,00:32:40 29-Jul-2019,5,3,35.9301,-74.7998,CRC,0,0,,,,1.024,0.116,,1.0,648.0,-1,,,,,,,,,,,198,31,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,01:53:46 29-Jul-2019,01:53:51 29-Jul-2019,5,0,35.9530,-74.8530,CRC,0,0,,,,1.024,0.124,,1.0,648.0,-2,,,,,,,,,,,210,31,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,09:42:15 29-Jul-2019,09:42:20 29-Jul-2019,5,2,36.1468,-74.7654,CRC,0,0,,,,1.024,0.124,,1.0,648.0,-1,,,,,,,,,,,240,31,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,11:18:58 29-Jul-2019,11:19:03 29-Jul-2019,5,3,36.2112,-74.7324,CRC,0,0,,,,1.024,0.128,,1.0,648.0,-1,,,,,,,,,,,247,31,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,15:01:43 29-Jul-2019,,0,36.5581,-74.6248,CRC,0,0,,1341,3.312,1.024,0.184,27.30,1.0,648.0,-1,,,,,,,,,,,217,31,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,16:17:20 29-Jul-2019,,0,36.5474,-74.9008,CRC,0,0,,1405,3.312,1.024,0.128,27.90,1.0,648.0,-1,,,,,,,,,,,196,31,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,12:49:13 30-Jul-2019,12:49:18 30-Jul-2019,5,B,36.2243,-74.7299,CRC,0,0,,,,1.024,0.124,,2.0,860.0,-1,,,,,,,,,,,143,32,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,14:19:16 30-Jul-2019,,2,36.1268,-74.7279,CRC,0,0,,1789,3.376,1.024,0.124,26.30,1.0,860.0,-1,,,,,,,,,,,244,32,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,00:12:15 31-Jul-2019,,0,35.7459,-74.8801,,0,0,,2045,3.376,1.024,0.132,28.20,86.0,708.0,-17,,,,,,,,,,,,35,233,87,65437,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,01:56:49 31-Jul-2019,,1,35.8889,-74.7547,CRC,0,0,,2109,3.312,1.024,0.128,28.00,1.0,708.0,-1,,,,,,,,,,,255,35,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,10:30:56 31-Jul-2019,10:31:02 31-Jul-2019,6,0,35.7550,-74.7236,CRC,0,0,,,,1.024,0.136,,1.0,708.0,-1,,,,,,,,,,,252,35,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,10:59:31 31-Jul-2019,,1,35.7657,-74.8121,CRC,0,0,,2301,3.440,1.024,0.124,27.70,1.0,708.0,-1,,,,,,,,,,,212,35,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,11:52:42 31-Jul-2019,,1,35.7656,-74.8304,CRC,0,0,,2365,3.440,1.024,0.124,27.60,1.0,708.0,-2,,,,,,,,,,,144,35,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,20:12:44 31-Jul-2019,,A,35.8304,-74.8207,CRC,0,0,,2621,3.440,1.024,0.120,28.10,1.0,708.0,-1,,,,,,,,,,,177,35,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,10:15:20 01-Aug-2019,,0,35.9673,-74.6577,CRC,0,0,,3005,3.440,1.024,0.120,24.90,1.0,804.0,-1,,,,,,,,,,,207,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,12:13:51 01-Aug-2019,12:13:57 01-Aug-2019,6,1,35.9432,-74.8295,CRC,0,0,,,,1.024,0.116,,1.0,804.0,-1,,,,,,,,,,,89,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,14:29:11 01-Aug-2019,,A,35.9465,-74.7853,CRC,0,0,,3197,3.376,1.032,0.124,26.30,1.0,804.0,-1,,,,,,,,,,,255,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,15:36:38 01-Aug-2019,,3,35.9193,-74.8172,CRC,0,0,,3261,3.440,1.024,0.124,26.50,1.0,804.0,-1,,,,,,,,,,,246,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,10:03:06 02-Aug-2019,10:03:11 02-Aug-2019,5,0,35.9015,-74.6439,CRC,0,0,,,,1.024,0.112,,1.0,620.0,0,,,,,,,,,,,255,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,13:47:14 02-Aug-2019,,0,36.0113,-74.6583,,0,0,,3965,3.376,1.024,0.128,27.20,-6.0,24.0,-1,,,,,,,,,,,,136,198,39,26664,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,15:26:33 02-Aug-2019,,0,36.1351,-74.9150,CRC,0,0,,4029,3.376,1.024,0.128,27.30,1.0,620.0,0,,,,,,,,,,,207,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,02:39:21 03-Aug-2019,02:39:27 03-Aug-2019,6,3,36.0628,-74.7568,CRC,0,0,,,,1.024,0.128,,1.0,776.0,-1,,,,,,,,,,,146,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,12:34:17 04-Aug-2019,,2,35.9587,-74.7782,,0,0,,5245,3.440,1.024,0.120,27.60,1.0,608.0,-1,,,,,,,,,,,,35,255,87,2605,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,13:26:16 04-Aug-2019,,2,35.9386,-74.7764,CRC,0,0,,5309,3.440,1.024,0.120,27.90,1.0,608.0,-1,,,,,,,,,,,255,35,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,15:02:22 04-Aug-2019,,3,35.9007,-74.7770,CRC,0,0,,5437,3.440,1.016,0.120,28.10,1.0,608.0,-1,,,,,,,,,,,255,35,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,16:08:07 04-Aug-2019,,0,36.0136,-74.6362,CRC,0,0,,5501,3.312,1.024,0.188,26.60,2.0,608.0,-1,,,,,,,,,,,255,35,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,13:14:38 05-Aug-2019,13:14:44 05-Aug-2019,6,1,35.7726,-74.7577,CRC,0,0,,,,1.024,0.124,,0.0,868.0,-1,,,,,,,,,,,255,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,14:12:37 05-Aug-2019,14:12:43 05-Aug-2019,6,3,35.7862,-74.7728,CRC,0,0,,,,1.024,0.132,,0.0,868.0,-1,,,,,,,,,,,167,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,02:18:43 06-Aug-2019,,2,35.7829,-74.8400,CRC,0,0,,6333,3.440,1.024,0.172,27.30,1.0,876.0,-1,,,,,,,,,,,238,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,09:12:54 06-Aug-2019,,0,36.0416,-74.7828,CRC,0,0,,6461,3.440,1.024,0.112,27.60,1.0,876.0,-1,,,,,,,,,,,164,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,13:05:02 06-Aug-2019,,0,35.7704,-74.6419,CRC,0,0,,6653,3.376,1.024,0.128,26.30,1.0,876.0,0,,,,,,,,,,,255,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,00:31:13 07-Aug-2019,,2,35.7194,-74.8120,CRC,0,0,,6973,3.504,1.024,0.116,28.00,0.0,960.0,-1,,,,,,,,,,,192,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,13:05:39 07-Aug-2019,,1,35.8072,-74.8271,CRC,0,0,,7421,3.440,1.032,0.124,28.00,0.0,960.0,-1,,,,,,,,,,,219,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,14:23:31 08-Aug-2019,,2,35.9679,-74.7341,CRC,0,0,,8125,3.440,1.024,0.124,27.40,0.0,704.0,-1,,,,,,,,,,,255,33,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,14:56:57 08-Aug-2019,14:57:03 08-Aug-2019,6,1,35.9636,-74.7325,CRC,0,0,,,,1.024,0.128,,1.0,704.0,-1,,,,,,,,,,,254,33,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,02:22:05 10-Aug-2019,02:22:12 10-Aug-2019,7,0,35.9340,-74.7013,CRC,0,0,,,,1.024,0.116,,1.0,944.0,0,,,,,,,,,,,255,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,13:54:32 10-Aug-2019,,3,35.9180,-74.7879,CRC,0,0,,9533,3.504,1.024,0.124,27.70,1.0,944.0,0,,,,,,,,,,,157,34,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,02:46:27 12-Aug-2019,02:46:33 12-Aug-2019,6,3,35.5631,-74.7485,CRC,0,0,,,,1.024,0.124,,0.0,728.0,-1,,,,,,,,,,,192,33,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,10:43:27 12-Aug-2019,10:43:34 12-Aug-2019,7,0,35.5870,-74.9391,CRC,0,0,,,,1.024,0.108,,1.0,728.0,0,,,,,,,,,,,255,33,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,13:35:55 12-Aug-2019,13:36:01 12-Aug-2019,6,0,35.6488,-74.5512,CRC,0,0,,,,1.024,0.188,,1.0,728.0,-2,,,,,,,,,,,255,33,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,15:04:56 12-Aug-2019,,3,35.6055,-74.7139,CRC,0,0,,11133,3.504,1.024,0.124,28.50,0.0,728.0,0,,,,,,,,,,,255,33,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,00:33:20 13-Aug-2019,00:33:27 13-Aug-2019,7,B,35.5886,-74.8872,CRC,0,0,,,,1.024,0.052,,1.0,872.0,-1,,,,,,,,,,,205,33,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,12:08:58 13-Aug-2019,,1,35.6761,-74.7206,CRC,0,0,,11517,3.504,1.024,0.120,28.20,0.0,872.0,-1,,,,,,,,,,,251,33,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,13:26:45 13-Aug-2019,13:26:52 13-Aug-2019,7,2,35.7059,-74.7448,CRC,0,0,,,,1.024,0.120,,0.0,872.0,-1,,,,,,,,,,,255,33,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,14:44:43 13-Aug-2019,,2,35.7188,-74.7739,CRC,0,0,,11709,3.504,1.032,0.120,28.50,1.0,872.0,-1,,,,,,,,,,,255,33,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,02:24:47 14-Aug-2019,,0,35.6666,-74.7824,CRC,0,0,,11965,3.440,1.024,0.128,27.80,1.0,824.0,-1,,,,,,,,,,,116,32,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,13:12:27 14-Aug-2019,13:12:34 14-Aug-2019,7,2,35.7263,-74.7932,CRC,0,0,,,,1.024,0.120,,1.0,824.0,0,,,,,,,,,,,255,32,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,,14:25:05 14-Aug-2019,,2,35.7164,-74.7920,CRC,0,0,,12413,3.504,1.024,0.116,28.30,1.0,824.0,0,,,,,,,,,,,255,32,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,14:46:58 14-Aug-2019,14:47:05 14-Aug-2019,7,3,35.7083,-74.7831,CRC,0,0,,,,1.024,0.116,,0.0,824.0,0,,,,,,,,,,,255,32,255,87,256,,,,,,,,,
GmTag224,180760,1.000000,Mk10,,13:07:58 15-Aug-2019,13:08:05 15-Aug-2019,7,3,35.7060,-74.7670,CRC,0,0,,,,1.024,0.112,,0.0,944.0,-1,,,,,,,,,,,187,32,255,87,256,,,,,,,,,
