DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ZcTag097,180773,Mk10,DS,1,0,1,,,19:29:12 12-Aug-2019,NP,,,,,,,,401650000,-138
ZcTag097,180773,Mk10,DS,4,1,2,,,22:51:24 12-Aug-2019,NP,1,28.0710,-109.7123,28.0710,-109.7123,50,,401677615,-130
ZcTag097,180773,Mk10,DS,4,1,2,,,22:51:20 12-Aug-2019,SR,Z,34.1610,-96.0635,34.1610,-96.0635,31,,401680157,-126
ZcTag097,180773,Mk10,DS,6,2,2,,,00:51:40 13-Aug-2019,NN,0,35.5352,-74.2346,37.0538,-65.3003,58,,401677452,-132
ZcTag097,180773,Mk10,DS,3,0,2,33,31,00:52:19 13-Aug-2019,MC,A,35.8052,-74.6005,35.8052,-74.6005,6,,401677615,-123
ZcTag097,180773,Mk10,DS,4,1,1,,,01:21:19 13-Aug-2019,MB,0,35.7334,-74.4338,35.7334,-74.4338,46,,401677552,-130
ZcTag097,180773,Mk10,DS,7,2,3,,,01:42:18 13-Aug-2019,MA,0,35.6601,-74.3009,35.6601,-74.3009,46,,401677557,-118
ZcTag097,180773,Mk10,DS,4,0,3,37,18,03:26:42 13-Aug-2019,MA,0,35.6550,-74.7144,35.6550,-74.7144,48,,401677475,-129
ZcTag097,180773,Mk10,DS,7,3,1,,,10:07:13 13-Aug-2019,SR,0,35.6292,-74.6772,35.6292,-74.6772,47,,401677575,-121
ZcTag097,180773,Mk10,DS,4,0,1,15,15,10:30:56 13-Aug-2019,NK,0,35.7663,-74.5944,35.7663,-74.5944,46,,401677502,-135
ZcTag097,180773,Mk10,DS,6,0,3,34,19,14:57:40 13-Aug-2019,NN,0,35.5236,-73.9914,35.5236,-73.9914,46,,401677632,-130
ZcTag097,180773,Mk10,DS,2,0,2,52,52,21:55:07 13-Aug-2019,NK,B,36.0846,-74.0585,36.0846,-74.0585,8,,401677566,-135
ZcTag097,180773,Mk10,DS,4,0,4,37,18,23:25:51 13-Aug-2019,NK,B,36.1044,-74.0894,36.1044,-74.0894,8,,401677534,-137
ZcTag097,180773,Mk10,DS,5,0,0,50,17,00:40:00 14-Aug-2019,NN,0,35.4510,-75.2987,35.4510,-75.2987,46,,401677602,-130
ZcTag097,180773,Mk10,DS,6,0,4,21,15,00:56:00 14-Aug-2019,MB,0,35.3749,-75.4161,35.3749,-75.4161,46,,401677650,-132
ZcTag097,180773,Mk10,DS,3,0,2,33,32,01:10:11 14-Aug-2019,NK,A,35.4177,-74.8403,35.4177,-74.8403,6,,401677554,-132
ZcTag097,180773,Mk10,DS,4,0,3,19,18,01:20:39 14-Aug-2019,MA,0,35.5449,-74.8588,35.5449,-74.8588,46,,401677450,-122
ZcTag097,180773,Mk10,DS,2,0,0,32,32,02:06:41 14-Aug-2019,MC,Z,35.5568,-75.1676,35.5568,-75.1676,34,,401677562,-114
ZcTag097,180773,Mk10,DS,3,0,2,47,15,03:46:14 14-Aug-2019,MC,A,35.4518,-74.9507,35.4518,-74.9507,6,,401677572,-128
ZcTag097,180773,Mk10,DS,5,0,0,24,18,11:04:10 14-Aug-2019,NP,0,35.7458,-74.8233,35.7458,-74.8233,48,,401677532,-121
ZcTag097,180773,Mk10,DS,1,0,1,,,11:43:42 14-Aug-2019,NK,B,35.6884,-74.9311,35.6884,-74.9311,8,,401677513,-137
ZcTag097,180773,Mk10,DS,5,0,2,18,17,13:15:02 14-Aug-2019,NN,0,35.3346,-75.3507,35.3346,-75.3507,48,,401677392,-133
ZcTag097,180773,Mk10,DS,8,0,1,27,16,13:42:07 14-Aug-2019,MA,0,35.8086,-75.3176,35.8086,-75.3176,46,,401677634,-121
ZcTag097,180773,Mk10,DS,3,0,2,18,16,14:33:26 14-Aug-2019,MC,A,35.6525,-75.5584,35.6525,-75.5584,8,,401677454,-128
ZcTag097,180773,Mk10,DS,6,0,3,29,16,14:51:59 14-Aug-2019,NN,0,35.6299,-75.0424,35.6299,-75.0424,46,,401677589,-126
ZcTag097,180773,Mk10,DS,4,0,2,32,26,22:31:34 14-Aug-2019,NP,0,35.9956,-74.8157,35.9956,-74.8157,48,,401677455,-135
ZcTag097,180773,Mk10,DS,6,0,2,21,16,23:11:44 14-Aug-2019,NK,Z,35.9978,-75.3268,35.9978,-75.3268,38,,401677441,-128
ZcTag097,180773,Mk10,DS,10,0,4,18,16,23:29:46 14-Aug-2019,SR,0,35.7710,-74.6145,35.7710,-74.6145,45,,401677568,-121
ZcTag097,180773,Mk10,DS,6,0,4,21,17,00:33:02 15-Aug-2019,NN,0,35.7294,-74.4709,35.7294,-74.4709,48,,401677568,-125
ZcTag097,180773,Mk10,DS,6,0,4,22,17,01:03:58 15-Aug-2019,MA,,,,,,,,401650000,
ZcTag097,180773,Mk10,DS,7,0,3,23,15,01:46:33 15-Aug-2019,MC,1,35.7199,-74.5946,35.7199,-74.5946,48,,401677488,-115
ZcTag097,180773,Mk10,DS,6,0,4,46,16,02:45:25 15-Aug-2019,MA,,,,,,,,401650000,
ZcTag097,180773,Mk10,DS,8,0,5,69,16,09:02:11 15-Aug-2019,SR,1,35.7206,-74.7066,35.7206,-74.7066,48,,401677425,-135
ZcTag097,180773,Mk10,DS,5,0,4,85,22,09:07:59 15-Aug-2019,NP,1,35.7388,-74.6982,35.7388,-74.6982,56,,401677427,-133
ZcTag097,180773,Mk10,DS,2,0,1,34,34,10:58:17 15-Aug-2019,NP,B,35.6213,-74.7646,35.6213,-74.7646,6,,401677454,-134
ZcTag097,180773,Mk10,DS,7,0,5,28,16,11:25:06 15-Aug-2019,NK,0,35.7215,-74.5283,35.7215,-74.5283,46,,401677489,-125
ZcTag097,180773,Mk10,DS,5,0,0,19,18,12:57:31 15-Aug-2019,NN,0,35.6750,-74.3251,35.6750,-74.3251,48,,401677496,-131
ZcTag097,180773,Mk10,DS,3,0,1,19,19,13:18:56 15-Aug-2019,MA,,,,,,,,401650000,
ZcTag097,180773,Mk10,DS,7,0,0,19,15,14:03:00 15-Aug-2019,MC,0,35.8153,-74.4861,35.8153,-74.4861,48,,401677458,-120
ZcTag097,180773,Mk10,DS,1,0,1,,,14:46:06 15-Aug-2019,MB,B,35.8089,-74.5133,35.8089,-74.5133,5,,401677502,-133
ZcTag097,180773,Mk10,DS,2,0,2,18,18,15:09:19 15-Aug-2019,MA,,,,,,,,401650000,
ZcTag097,180773,Mk10,DS,4,0,2,21,15,22:11:46 15-Aug-2019,NP,0,35.4683,-74.1535,35.4683,-74.1535,48,,401677585,-133
ZcTag097,180773,Mk10,DS,1,0,0,,,23:06:25 15-Aug-2019,SR,B,35.4446,-74.1701,35.4446,-74.1701,8,,401677522,-137
ZcTag097,180773,Mk10,DS,8,0,7,47,15,01:21:07 16-Aug-2019,MC,0,35.6540,-74.7118,35.6540,-74.7118,48,,401677425,-120
