DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
ZcTag087,180757,1.000000,Transmission,Mk10,5,12:00:00 02-Jun-2019,16:00:00 02-Jun-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,5,16:00:00 02-Jun-2019,20:00:00 02-Jun-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,4,20:00:00 02-Jun-2019,00:00:00 03-Jun-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,4,00:00:00 03-Jun-2019,04:00:00 03-Jun-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,4,04:00:00 03-Jun-2019,08:00:00 03-Jun-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,1,08:00:00 03-Jun-2019,12:00:00 03-Jun-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,2,16:00:00 03-Jun-2019,20:00:00 03-Jun-2019,,,,0.0,0.00,1392.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,1,20:00:00 03-Jun-2019,00:00:00 04-Jun-2019,,,,0.0,0.00,1392.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,2,04:00:00 04-Jun-2019,08:00:00 04-Jun-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,4,08:00:00 04-Jun-2019,12:00:00 04-Jun-2019,,,,0.0,0.00,912.0,7.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,2,12:00:00 04-Jun-2019,16:00:00 04-Jun-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,2,16:00:00 04-Jun-2019,20:00:00 04-Jun-2019,,,,0.0,0.00,1200.0,15.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,2,20:00:00 04-Jun-2019,00:00:00 05-Jun-2019,,,,0.0,0.00,912.0,7.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,4,00:00:00 05-Jun-2019,04:00:00 05-Jun-2019,,,,0.0,0.00,864.0,7.50,,,,,,,
ZcTag087,180757,1.000000,Transmission,Mk10,2,04:00:00 05-Jun-2019,08:00:00 05-Jun-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
