DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
ZcTag087,180757,Mk10,Strong,02-Jun-2019,14:33:33,02-Jun-2019,14:33:36
ZcTag087,180757,Mk10,Strong,22-Jun-2019,09:42:53,22-Jun-2019,09:43:00
