DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
ZcTag089,180768,Mk10,23:12:46 03-Jun-2019,,,A,35.4285,-75.3433,CRC 8527.48620,01:00:00 09-Dec-2019,TimeSeries,210,20,255,18,20,229,162,149,14,204,143,254,18,226,199,208,166,240,193,27,255,236,221,191,243,34,136,175,155,58,11,
ZcTag089,180768,Mk10,13:43:16 04-Jun-2019,,,0,35.0423,-75.1583,CRC 11948.37766,,TimeSeries,210,234,204,217,242,77,54,89,167,166,49,138,170,92,242,175,26,210,3,11,83,88,203,201,35,83,20,90,228,182,156,
ZcTag089,180768,Mk10,02:57:00 05-Jun-2019,,,0,35.4944,-74.7303,CRC 22850.61953,17:00:00 14-Oct-2017,TimeSeries,213,148,38,157,20,143,158,174,228,90,23,88,27,255,7,7,200,86,10,158,75,26,106,67,94,230,36,137,132,87,163,
ZcTag089,180768,Mk10,20:57:21 05-Jun-2019,,,0,35.3717,-74.7524,CRC 23541.33580,03:00:00 19-May-2018,TimeSeries,213,191,89,102,58,42,153,141,242,109,84,77,85,188,34,1,6,224,106,135,13,191,153,47,202,151,90,120,127,130,161,
ZcTag089,180768,Mk10,22:34:56 05-Jun-2019,,,B,35.3637,-74.7570,CRC 3927.46601,08:00:00 05-Jul-2019,TimeSeries,208,245,125,202,136,0,154,24,21,208,85,204,219,212,55,239,251,218,27,191,173,37,104,66,218,214,53,17,15,17,41,
ZcTag089,180768,Mk10,00:01:01 06-Jun-2019,,,0,35.3033,-74.6363,CRC 23550.25860,04:00:00 03-Jun-2019,TimeSeries,213,191,237,134,73,1,122,148,153,199,82,107,226,214,204,69,16,176,73,80,9,38,169,235,53,165,105,37,179,63,162,
ZcTag089,180768,Mk10,01:32:51 06-Jun-2019,,,B,35.5458,-75.0232,CRC 46492.63579,01:32:53 06-Jun-2019,Status,4,5,140,24,53,181,156,50,23,245,0,21,166,100,115,253,60,4,2,105,192,10,109,,,,,,,,,
ZcTag089,180768,Mk10,02:38:07 06-Jun-2019,,,1,35.5055,-74.8544,Protocol Version: 10,02:38:07 06-Jun-2019,Status,4,173,70,56,207,118,172,161,173,91,4,41,238,214,47,22,187,85,74,33,182,40,244,,,,,,,,,
ZcTag089,180768,Mk10,10:23:42 06-Jun-2019,,,A,35.1368,-75.3513,CRC 22699.115,04:00:00 01-Jun-2018,TimeSeries,213,138,185,130,65,152,33,241,37,39,254,133,132,240,240,198,59,241,54,241,168,47,253,32,221,111,3,154,216,195,240,
ZcTag089,180768,Mk10,10:23:58 06-Jun-2019,,,A,35.1368,-75.3513,CRC 5375.10184,06:00:00 30-Dec-2019,TAT,161,79,255,60,99,205,191,195,17,108,236,179,104,13,226,5,108,58,150,215,78,100,213,19,208,29,208,78,6,142,159,
