DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
ZcTag096,180774,Mk10,Strong,13-Aug-2019,03:26:40,13-Aug-2019,03:26:43
ZcTag096,180774,Mk10,Strong,20-Sep-2019,22:03:52,20-Sep-2019,22:03:59
