DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ZcTag096,180774,Mk10,DS,6,2,3,,,22:51:38 12-Aug-2019,SR,1,35.7644,-74.8762,35.7644,-74.8762,56,,401677489,-119
ZcTag096,180774,Mk10,DS,3,1,1,,,22:51:31 12-Aug-2019,NP,A,35.7030,-74.8740,35.7030,-74.8740,6,,401650000,-133
ZcTag096,180774,Mk10,DS,2,0,1,53,53,00:52:22 13-Aug-2019,MC,B,35.6809,-74.9987,35.6809,-74.9987,6,,401677371,-126
ZcTag096,180774,Mk10,DS,5,2,1,,,00:52:19 13-Aug-2019,NN,0,35.6982,-74.4090,35.6982,-74.4090,48,,401677402,-125
ZcTag096,180774,Mk10,DS,5,0,2,20,15,01:21:46 13-Aug-2019,MB,0,35.7605,-74.8508,35.7605,-74.8508,46,,401677338,-127
ZcTag096,180774,Mk10,DS,5,3,0,,,01:42:05 13-Aug-2019,MA,0,35.6624,-74.6713,35.6624,-74.6713,46,,401677449,-119
ZcTag096,180774,Mk10,DS,4,0,3,23,16,03:26:55 13-Aug-2019,MA,0,35.6350,-74.8137,35.6350,-74.8137,48,,401677450,-129
ZcTag096,180774,Mk10,DS,6,0,3,19,14,10:07:12 13-Aug-2019,SR,1,35.6635,-74.7234,35.6635,-74.7234,58,,401677466,-120
ZcTag096,180774,Mk10,DS,1,0,1,,,13:54:17 13-Aug-2019,NK,B,35.6590,-74.7632,35.6590,-74.7632,8,,401677432,-135
ZcTag096,180774,Mk10,DS,5,1,1,,,14:57:26 13-Aug-2019,NN,0,35.7456,-74.4748,35.7456,-74.4748,46,,401677488,-131
ZcTag096,180774,Mk10,DS,4,0,2,23,15,16:31:33 13-Aug-2019,MC,0,35.4093,-74.5649,35.4093,-74.5649,48,,401677378,-130
ZcTag096,180774,Mk10,DS,1,0,0,,,21:54:06 13-Aug-2019,NK,B,35.2481,-74.9413,35.2481,-74.9413,6,,401677544,-137
ZcTag096,180774,Mk10,DS,3,0,1,16,14,23:27:01 13-Aug-2019,NK,A,35.3173,-74.9826,35.3173,-74.9826,8,,401677472,-129
ZcTag096,180774,Mk10,DS,4,0,2,19,15,00:41:01 14-Aug-2019,NN,0,35.5852,-74.9408,35.5852,-74.9408,48,,401677486,-128
ZcTag096,180774,Mk10,DS,4,0,3,41,37,01:10:02 14-Aug-2019,NK,0,35.5839,-74.8413,35.5839,-74.8413,56,,401677469,-130
ZcTag096,180774,Mk10,DS,5,0,4,160,21,01:21:03 14-Aug-2019,MA,0,35.6794,-74.6421,35.6794,-74.6421,46,,401677403,-121
ZcTag096,180774,Mk10,DS,5,0,0,19,15,02:07:10 14-Aug-2019,MC,0,35.6677,-74.8491,35.6677,-74.8491,46,,401677432,-116
ZcTag096,180774,Mk10,DS,5,0,2,42,20,02:21:23 14-Aug-2019,NN,0,35.5488,-74.7316,35.5488,-74.7316,46,,401677440,-132
ZcTag096,180774,Mk10,DS,4,0,4,35,17,03:46:05 14-Aug-2019,MC,0,35.5991,-74.8150,35.5991,-74.8150,47,,401677472,-129
ZcTag096,180774,Mk10,DS,5,0,1,18,16,11:04:12 14-Aug-2019,NP,1,35.7227,-74.7612,35.7227,-74.7612,58,,401677474,-122
ZcTag096,180774,Mk10,DS,3,0,2,18,18,11:43:44 14-Aug-2019,NK,B,35.7303,-74.7663,35.7303,-74.7663,8,,401677455,-133
ZcTag096,180774,Mk10,DS,7,0,1,19,15,13:42:48 14-Aug-2019,MA,0,35.7472,-74.8471,35.7472,-74.8471,47,,401677478,-120
ZcTag096,180774,Mk10,DS,5,0,1,20,17,14:52:32 14-Aug-2019,NN,0,35.6440,-74.8429,35.6440,-74.8429,48,,401677472,-124
ZcTag096,180774,Mk10,DS,7,0,1,18,15,22:32:03 14-Aug-2019,NP,0,35.8632,-74.7188,35.8632,-74.7188,48,,401677414,-131
ZcTag096,180774,Mk10,DS,3,0,1,38,37,23:11:50 14-Aug-2019,NK,A,35.9084,-74.9014,35.9084,-74.9014,7,,401677428,-133
ZcTag096,180774,Mk10,DS,7,0,4,24,15,23:30:18 14-Aug-2019,SR,0,35.7543,-74.7593,35.7543,-74.7593,46,,401677462,-122
ZcTag096,180774,Mk10,DS,3,0,3,25,15,00:33:15 15-Aug-2019,NN,A,35.7342,-74.6171,35.7342,-74.6171,8,,401677466,-132
ZcTag096,180774,Mk10,DS,3,0,2,48,22,00:49:26 15-Aug-2019,NK,A,35.8436,-74.6426,35.8436,-74.6426,6,,401677384,-130
ZcTag096,180774,Mk10,DS,5,0,3,27,16,01:04:40 15-Aug-2019,MA,,,,,,,,401650000,
