DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
ZcTag084,180753,Mk10,Strong,23-May-2019,13:02:42,23-May-2019,13:02:44
ZcTag084,180753,Mk10,Strong,06-Jul-2019,14:03:27,06-Jul-2019,14:03:34
