DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
ZcTag084,180753,Mk10,13:04:09 23-May-2019,,,0,24.5756,-22.1670,CRC 65030.47258,13:04:09 23-May-2019,Status,4,157,46,209,7,1,183,50,39,228,240,19,32,80,204,205,60,0,3,254,6,159,71,,,,,,,,,
ZcTag084,180753,Mk10,14:09:51 23-May-2019,,,B,32.8820,-59.0912,CRC 21550.49028,14:41:48 23-May-2019,Status,4,5,110,234,112,84,46,52,87,242,196,6,20,80,204,221,110,239,253,0,63,255,255,,,,,,,,,
ZcTag084,180753,Mk10,14:23:51 23-May-2019,,,0,33.2654,-76.5495,CRC 59926.32791,14:23:51 23-May-2019,Status,4,165,54,229,241,2,215,50,55,244,240,6,16,112,204,205,60,0,3,234,22,127,192,,,,,,,,,
ZcTag084,180753,Mk10,14:48:53 23-May-2019,,,A,34.5904,-66.6957,CRC 22667.6896,14:48:51 23-May-2019,Status,4,5,110,236,51,88,139,50,71,244,192,6,16,80,154,153,134,96,107,107,210,7,227,,,,,,,,,
ZcTag084,180753,Mk10,01:39:16 24-May-2019,,,0,35.5741,-74.7609,CRC 32683.51758,20:00:00 23-May-2019,TimeSeries,215,250,189,111,74,28,11,158,174,16,159,212,85,144,189,117,22,232,22,244,241,225,140,6,176,116,213,37,252,115,51,
ZcTag084,180753,Mk10,15:26:51 24-May-2019,,,0,35.3631,-74.6749,CRC 28595.27003,20:00:00 23-May-2019,TimeSeries,214,251,61,111,72,2,218,65,94,16,153,212,85,144,149,84,16,194,119,251,255,255,251,114,88,154,38,1,89,73,81,
ZcTag084,180753,Mk10,08:20:59 25-May-2019,,,0,35.6419,-74.6670,CRC 58437.17980,08:20:59 25-May-2019,Status,4,165,38,135,57,5,91,50,71,244,240,6,23,8,163,253,60,4,3,228,69,127,192,,,,,,,,,
ZcTag084,180753,Mk10,15:06:47 25-May-2019,,,0,35.3218,-74.3887,CRC 61287.55111,16:00:00 24-May-2019,TimeSeries,222,246,125,113,8,1,251,127,251,191,183,36,26,32,22,28,113,225,129,226,24,25,66,119,187,187,118,234,1,225,192,
ZcTag084,180753,Mk10,21:47:58 26-May-2019,,,0,35.6582,-74.5364,CRC 4757.10364,21:47:55 26-May-2019,Status,4,5,117,91,247,18,149,50,7,229,16,22,22,52,155,109,45,182,219,73,45,246,222,,,,,,,,,
ZcTag084,180753,Mk10,11:26:12 27-May-2019,,,0,35.3756,-74.4461,CRC 15653.64175,00:00:00 26-May-2019,TimeSeries,211,210,93,116,8,1,155,187,119,114,228,30,242,1,239,46,1,88,129,64,2,0,35,127,251,191,255,100,21,129,24,
ZcTag084,180753,Mk10,01:42:05 28-May-2019,,,0,35.5404,-74.9141,CRC 24625.52705,01:42:05 28-May-2019,Status,4,165,44,26,130,9,27,50,23,229,0,6,22,36,147,253,141,4,23,96,49,206,177,,,,,,,,,
ZcTag084,180753,Mk10,03:23:54 28-May-2019,,,0,35.7405,-74.6151,CRC 27094.52965,04:00:00 24-May-2019,TimeSeries,214,157,109,112,72,1,249,12,65,208,59,39,89,116,194,85,70,216,64,192,64,40,87,0,248,2,88,58,29,219,252,
ZcTag084,180753,Mk10,12:56:20 28-May-2019,,,B,36.0342,-74.5556,CRC 61901.47129,04:00:00 31-May-2019,TimeSeries,223,28,221,126,72,2,27,255,255,255,183,36,25,192,0,22,160,30,100,85,208,35,63,255,255,247,178,65,160,5,225,
ZcTag084,180753,Mk10,15:16:40 28-May-2019,,,0,35.5317,-74.5639,CRC 2746.10938,04:00:00 26-May-2019,TimeSeries,208,171,173,116,72,1,217,69,84,209,69,51,183,127,255,187,187,28,20,145,136,23,55,187,187,36,26,13,21,9,20,
ZcTag084,180753,Mk10,15:39:04 28-May-2019,,,0,35.7109,-74.8688,CRC 27094.3526,,TimeSeries,214,157,104,56,107,10,58,96,196,203,9,89,0,102,53,246,63,148,130,112,116,78,35,233,241,80,254,60,31,119,0,
