DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ZcTag084,180753,Mk10,21:35:37 26-May-2019,Argos,A,35.7217,-74.4669,11246,29916,4227,0,,,,,,
ZcTag084,180753,Mk10,21:47:21 26-May-2019,Argos,0,35.6582,-74.5364,7310,36235,1474,28,,,,,,
ZcTag084,180753,Mk10,23:27:50 26-May-2019,Argos,0,35.5742,-74.5369,8774,127890,601,101,,,,,,
ZcTag084,180753,Mk10,23:27:50 26-May-2019,Argos,B,35.7634,-74.4640,6748,9987,4559,67,,,,,,
ZcTag084,180753,Mk10,00:54:52 27-May-2019,Argos,0,35.5863,-74.7086,3524,10265,1210,10,,,,,,
ZcTag084,180753,Mk10,00:57:17 27-May-2019,Argos,B,35.5595,-74.7047,6457,12552,3321,146,,,,,,
ZcTag084,180753,Mk10,02:01:19 27-May-2019,Argos,1,35.6776,-74.7741,1362,8980,206,69,,,,,,
ZcTag084,180753,Mk10,02:38:34 27-May-2019,Argos,1,35.6267,-74.7225,1463,9522,224,82,,,,,,
ZcTag084,180753,Mk10,09:05:42 27-May-2019,Argos,A,35.8683,-74.7832,9946,41167,2402,65,,,,,,
ZcTag084,180753,Mk10,09:44:08 27-May-2019,Argos,A,34.9696,-74.2235,3939,123013,126,149,,,,,,
ZcTag084,180753,Mk10,11:24:54 27-May-2019,Argos,0,35.3756,-74.4461,11436,29898,4374,93,,,,,,
ZcTag084,180753,Mk10,15:03:07 27-May-2019,Argos,0,35.6016,-74.5183,2835,58592,137,102,,,,,,
ZcTag084,180753,Mk10,19:22:46 27-May-2019,Argos,B,35.8478,-74.6230,10228,14603,7163,79,,,,,,
ZcTag084,180753,Mk10,21:04:22 27-May-2019,Argos,1,35.7276,-74.7105,1183,14253,98,81,,,,,,
ZcTag084,180753,Mk10,00:03:59 28-May-2019,Argos,A,35.8415,-74.9525,10060,18288,5533,72,,,,,,
ZcTag084,180753,Mk10,00:26:34 28-May-2019,Argos,A,35.6276,-74.9327,6886,59808,792,78,,,,,,
ZcTag084,180753,Mk10,01:34:15 28-May-2019,Argos,0,35.5404,-74.9141,51471,,,,,,,,,
ZcTag084,180753,Mk10,02:16:00 28-May-2019,Argos,0,35.6788,-74.6242,2688,47465,152,73,,,,,,
ZcTag084,180753,Mk10,03:23:23 28-May-2019,Argos,0,35.7405,-74.6151,7850,21608,2851,76,,,,,,
ZcTag084,180753,Mk10,09:23:27 28-May-2019,Argos,0,35.9257,-74.6742,13408,111949,1605,77,,,,,,
ZcTag084,180753,Mk10,12:56:19 28-May-2019,Argos,B,36.0342,-74.5556,15145,34269,6693,78,,,,,,
ZcTag084,180753,Mk10,13:14:10 28-May-2019,Argos,0,35.9508,-74.7197,25414,327289,1973,74,,,,,,
ZcTag084,180753,Mk10,13:32:58 28-May-2019,Argos,B,35.8885,-74.9074,18313,117168,2862,75,,,,,,
ZcTag084,180753,Mk10,13:53:23 28-May-2019,Argos,B,35.8363,-75.0638,15399,62346,3803,76,,,,,,
ZcTag084,180753,Mk10,14:54:25 28-May-2019,Argos,A,36.0106,-74.5601,5363,11208,2565,122,,,,,,
ZcTag084,180753,Mk10,15:16:03 28-May-2019,Argos,0,35.5317,-74.5639,15209,199381,1160,104,,,,,,
ZcTag084,180753,Mk10,15:40:05 28-May-2019,Argos,0,35.7109,-74.8688,1806,4741,687,33,,,,,,
ZcTag084,180753,Mk10,20:53:23 28-May-2019,Argos,0,35.6401,-74.8303,14254,191451,1061,62,,,,,,
ZcTag084,180753,Mk10,00:02:25 29-May-2019,Argos,1,35.4765,-74.7161,1171,3428,400,101,,,,,,
ZcTag084,180753,Mk10,00:03:06 29-May-2019,Argos,1,35.5365,-74.8170,1465,1688,1271,57,,,,,,
ZcTag084,180753,Mk10,01:18:52 29-May-2019,Argos,1,35.5286,-74.6589,586,766,447,128,,,,,,
ZcTag084,180753,Mk10,01:53:02 29-May-2019,Argos,B,35.5312,-74.6059,3876,4750,3162,90,,,,,,
ZcTag084,180753,Mk10,02:54:31 29-May-2019,Argos,B,35.4817,-74.5065,5533,18531,1652,79,,,,,,
ZcTag084,180753,Mk10,03:38:33 29-May-2019,Argos,0,35.3709,-74.6518,11214,33340,3771,116,,,,,,
ZcTag084,180753,Mk10,10:40:35 29-May-2019,Argos,A,35.5256,-74.4202,16046,84967,3030,115,,,,,,
ZcTag084,180753,Mk10,10:59:42 29-May-2019,Argos,0,35.3379,-74.3932,3956,41912,373,93,,,,,,
ZcTag084,180753,Mk10,12:21:25 29-May-2019,Argos,0,35.4259,-74.3771,4452,142485,139,102,,,,,,
ZcTag084,180753,Mk10,14:13:31 29-May-2019,Argos,B,35.4269,-74.3639,8827,14048,5545,97,,,,,,
ZcTag084,180753,Mk10,14:50:48 29-May-2019,Argos,0,35.4365,-74.2942,25487,871910,745,102,,,,,,
ZcTag084,180753,Mk10,14:51:40 29-May-2019,Argos,0,35.3673,-74.3866,2153,21383,216,89,,,,,,
ZcTag084,180753,Mk10,23:32:21 29-May-2019,Argos,1,35.5651,-74.8131,715,3579,142,82,,,,,,
ZcTag084,180753,Mk10,00:57:52 30-May-2019,Argos,1,35.5925,-74.6557,1335,4032,441,4,,,,,,
ZcTag084,180753,Mk10,01:20:58 30-May-2019,Argos,B,35.5898,-74.6562,3007,3287,2749,85,,,,,,
ZcTag084,180753,Mk10,01:36:56 30-May-2019,Argos,2,35.5618,-74.7093,461,954,223,130,,,,,,
ZcTag084,180753,Mk10,02:42:19 30-May-2019,Argos,0,35.6955,-74.5217,6297,56294,704,97,,,,,,
ZcTag084,180753,Mk10,03:15:25 30-May-2019,Argos,B,35.7068,-74.4874,9150,16456,5087,92,,,,,,
ZcTag084,180753,Mk10,09:09:28 30-May-2019,Argos,B,35.8542,-74.3333,24001,31139,18499,100,,,,,,
ZcTag084,180753,Mk10,09:10:06 30-May-2019,Argos,0,35.7088,-74.5991,23355,249573,2185,88,,,,,,
ZcTag084,180753,Mk10,10:16:50 30-May-2019,Argos,B,35.7464,-74.4866,10112,22021,4643,86,,,,,,
ZcTag084,180753,Mk10,10:38:42 30-May-2019,Argos,0,35.7665,-74.3878,6121,9491,3947,102,,,,,,
ZcTag084,180753,Mk10,10:52:37 30-May-2019,Argos,A,35.8137,-74.3835,6907,12828,3719,106,,,,,,
ZcTag084,180753,Mk10,12:52:22 30-May-2019,Argos,0,35.6898,-74.6343,10921,88744,1343,112,,,,,,
ZcTag084,180753,Mk10,14:32:17 30-May-2019,Argos,0,35.6106,-74.4783,10530,124314,891,121,,,,,,
ZcTag084,180753,Mk10,14:32:42 30-May-2019,Argos,1,35.5722,-74.5743,1121,2142,586,133,,,,,,
ZcTag084,180753,Mk10,20:31:29 30-May-2019,Argos,0,35.6365,-74.7486,13432,130039,1387,61,,,,,,
ZcTag084,180753,Mk10,22:13:46 30-May-2019,Argos,0,35.7451,-74.4806,28263,141841,5631,108,,,,,,
ZcTag084,180753,Mk10,22:55:56 30-May-2019,Argos,B,35.7585,-74.4374,29580,64482,13569,106,,,,,,
ZcTag084,180753,Mk10,00:13:38 31-May-2019,Argos,B,35.0324,-73.1114,31453,510303,1938,116,,,,,,Lat > 4 deviations from mean
ZcTag084,180753,Mk10,00:32:41 31-May-2019,Argos,0,35.3691,-74.7821,2518,10198,621,19,,,,,,
ZcTag084,180753,Mk10,00:41:20 31-May-2019,Argos,0,35.5673,-74.8687,3140,6879,1432,4,,,,,,
ZcTag084,180753,Mk10,01:49:21 31-May-2019,Argos,0,35.4874,-74.8910,5864,31937,1076,85,,,,,,
ZcTag084,180753,Mk10,01:58:46 31-May-2019,Argos,0,35.5048,-74.7407,3453,9508,1253,120,,,,,,
ZcTag084,180753,Mk10,02:14:14 31-May-2019,Argos,1,35.5283,-74.7288,940,6603,133,85,,,,,,
ZcTag084,180753,Mk10,08:54:26 31-May-2019,Argos,0,35.4131,-74.6067,4607,30197,702,65,,,,,,
ZcTag084,180753,Mk10,10:28:52 31-May-2019,Argos,0,35.5902,-74.2776,7838,24993,2457,122,,,,,,
ZcTag084,180753,Mk10,13:06:52 31-May-2019,Argos,B,35.5317,-74.3635,18461,30290,11251,128,,,,,,
ZcTag084,180753,Mk10,15:19:52 31-May-2019,Argos,0,35.4390,-74.6674,9057,119132,688,108,,,,,,
ZcTag084,180753,Mk10,16:03:45 31-May-2019,Argos,B,35.5721,-75.0980,4694,24856,886,119,,,,,,
ZcTag084,180753,Mk10,22:50:23 31-May-2019,Argos,1,35.5591,-74.7088,953,3166,286,130,,,,,,
ZcTag084,180753,Mk10,01:00:32 01-Jun-2019,Argos,0,35.6130,-74.8603,4322,35888,520,82,,,,,,
ZcTag084,180753,Mk10,01:32:00 01-Jun-2019,Argos,0,35.5422,-74.7480,3325,25836,428,91,,,,,,
ZcTag084,180753,Mk10,01:47:11 01-Jun-2019,Argos,1,35.5165,-74.7139,1165,2401,565,171,,,,,,
ZcTag084,180753,Mk10,01:54:56 01-Jun-2019,Argos,3,35.5148,-74.6859,237,311,179,114,,,,,,
ZcTag084,180753,Mk10,01:54:56 01-Jun-2019,Argos,3,35.5148,-74.6859,237,311,179,114,,,,,,
ZcTag084,180753,Mk10,08:37:12 01-Jun-2019,Argos,B,35.4716,-74.1810,7327,12273,4374,90,,,,,,
ZcTag084,180753,Mk10,09:40:04 01-Jun-2019,Argos,B,35.4909,-74.1050,6988,12816,3809,88,,,,,,
ZcTag084,180753,Mk10,11:21:13 01-Jun-2019,Argos,0,35.5520,-74.7437,2206,7218,673,112,,,,,,
ZcTag084,180753,Mk10,13:19:33 01-Jun-2019,Argos,0,35.4264,-74.6478,7103,27658,1823,52,,,,,,
ZcTag084,180753,Mk10,14:18:45 01-Jun-2019,Argos,0,35.1912,-74.7336,46997,88773,24879,73,,,,,,
ZcTag084,180753,Mk10,14:18:58 01-Jun-2019,Argos,0,35.5382,-74.8231,8279,140153,489,101,,,,,,
ZcTag084,180753,Mk10,14:56:51 01-Jun-2019,Argos,0,35.6218,-74.8171,4631,96176,223,101,,,,,,
ZcTag084,180753,Mk10,16:33:24 01-Jun-2019,Argos,B,35.6030,-74.8261,7968,11989,5295,100,,,,,,
ZcTag084,180753,Mk10,20:00:38 01-Jun-2019,Argos,0,35.6485,-74.6887,5271,11168,2487,163,,,,,,
ZcTag084,180753,Mk10,21:44:08 01-Jun-2019,Argos,0,35.5173,-74.7653,2589,20300,330,92,,,,,,
ZcTag084,180753,Mk10,21:56:52 01-Jun-2019,Argos,0,35.6348,-74.7135,5744,25267,1305,114,,,,,,
ZcTag084,180753,Mk10,23:36:23 01-Jun-2019,Argos,0,35.5660,-74.6744,8807,93640,828,115,,,,,,
ZcTag084,180753,Mk10,23:53:49 01-Jun-2019,Argos,B,35.4817,-74.5286,4773,7030,3240,90,,,,,,
