"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange"
"41","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","16:10:00",NA,NA,NA,56,12.5,NA,NA,NA,NA
"42","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","16:15:00",NA,NA,NA,159,25,NA,NA,NA,NA
"43","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","16:20:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"44","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","16:25:00",NA,NA,NA,408,50.5,NA,NA,NA,NA
"45","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","16:30:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"46","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","16:35:00",NA,NA,NA,34,12,NA,NA,NA,NA
"47","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","16:40:00",NA,NA,NA,204,25.5,NA,NA,NA,NA
"48","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","16:45:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"49","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","16:50:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"50","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","16:55:00",NA,NA,NA,204,25.5,NA,NA,NA,NA
"51","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:00:00",NA,NA,NA,11,11.5,NA,NA,NA,NA
"52","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:05:00",NA,NA,NA,249,25.5,NA,NA,NA,NA
"53","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:10:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"54","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:15:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"55","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:20:00",NA,NA,NA,249,25.5,NA,NA,NA,NA
"56","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:25:00",NA,NA,NA,11,11.5,NA,NA,NA,NA
"57","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:30:00",NA,NA,NA,249,25.5,NA,NA,NA,NA
"58","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:35:00",NA,NA,NA,408,50.5,NA,NA,NA,NA
"59","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:40:00",NA,NA,NA,408,50.5,NA,NA,NA,NA
"60","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:45:00",NA,NA,NA,249,25.5,NA,NA,NA,NA
"61","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:50:00",NA,NA,NA,11,11.5,NA,NA,NA,NA
"62","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","17:55:00",NA,NA,NA,249,25.5,NA,NA,NA,NA
"63","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:00:00",NA,NA,NA,726,99,NA,NA,NA,NA
"64","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:05:00",NA,NA,NA,1270,106.5,NA,NA,NA,NA
"65","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:10:00",NA,NA,NA,1270,106.5,NA,NA,NA,NA
