"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","LocationQuality","Latitude","Longitude","MinDepth","MinDepthAccuracy","MaxDepth","MaxDepthAccuracy","MinTemp","MinTempAccuracy","MaxTemp","MaxTempAccuracy","MobMean","MobSD","ActivitySum"
"27","ZcTag092",180761,1,"Transmission","Mk10",11,"20:00:00 03-Aug-2019","00:00:00 04-Aug-2019",NA,NA,NA,0,0,1424,15.5,NA,NA,NA,NA,NA,NA,NA
"28","ZcTag092",180761,1,"Transmission","Mk10",13,"00:00:00 04-Aug-2019","04:00:00 04-Aug-2019",NA,NA,NA,0,0,1136,15.5,NA,NA,NA,NA,NA,NA,NA
"29","ZcTag092",180761,1,"Transmission","Mk10",21,"04:00:00 04-Aug-2019","08:00:00 04-Aug-2019",NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA
"30","ZcTag092",180761,1,"Transmission","Mk10",13,"08:00:00 04-Aug-2019","12:00:00 04-Aug-2019",NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"31","ZcTag092",180761,1,"Transmission","Mk10",12,"12:00:00 04-Aug-2019","16:00:00 04-Aug-2019",NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"32","ZcTag092",180761,1,"Transmission","Mk10",17,"16:00:00 04-Aug-2019","20:00:00 04-Aug-2019",NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"33","ZcTag092",180761,1,"Transmission","Mk10",13,"20:00:00 04-Aug-2019","00:00:00 05-Aug-2019",NA,NA,NA,0,0,1040,15.5,NA,NA,NA,NA,NA,NA,NA
"34","ZcTag092",180761,1,"Transmission","Mk10",13,"00:00:00 05-Aug-2019","04:00:00 05-Aug-2019",NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA
"35","ZcTag092",180761,1,"Transmission","Mk10",14,"04:00:00 05-Aug-2019","08:00:00 05-Aug-2019",NA,NA,NA,0,0,1648,15.5,NA,NA,NA,NA,NA,NA,NA
"36","ZcTag092",180761,1,"Transmission","Mk10",14,"08:00:00 05-Aug-2019","12:00:00 05-Aug-2019",NA,NA,NA,5,0,1424,15.5,NA,NA,NA,NA,NA,NA,NA
"37","ZcTag092",180761,1,"Transmission","Mk10",9,"12:00:00 05-Aug-2019","16:00:00 05-Aug-2019",NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"38","ZcTag092",180761,1,"Transmission","Mk10",14,"16:00:00 05-Aug-2019","20:00:00 05-Aug-2019",NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA
"39","ZcTag092",180761,1,"Transmission","Mk10",11,"20:00:00 05-Aug-2019","00:00:00 06-Aug-2019",NA,NA,NA,0,0,848,7.5,NA,NA,NA,NA,NA,NA,NA
"40","ZcTag092",180761,1,"Transmission","Mk10",7,"00:00:00 06-Aug-2019","04:00:00 06-Aug-2019",NA,NA,NA,0,0,1648,15.5,NA,NA,NA,NA,NA,NA,NA
"41","ZcTag092",180761,1,"Transmission","Mk10",6,"04:00:00 06-Aug-2019","08:00:00 06-Aug-2019",NA,NA,NA,35,0,608,7.5,NA,NA,NA,NA,NA,NA,NA
"42","ZcTag092",180761,1,"Transmission","Mk10",12,"08:00:00 06-Aug-2019","12:00:00 06-Aug-2019",NA,NA,NA,8,0,2096,31.5,NA,NA,NA,NA,NA,NA,NA
"43","ZcTag092",180761,1,"Transmission","Mk10",7,"12:00:00 06-Aug-2019","16:00:00 06-Aug-2019",NA,NA,NA,24,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA
"44","ZcTag092",180761,1,"Transmission","Mk10",13,"16:00:00 06-Aug-2019","20:00:00 06-Aug-2019",NA,NA,NA,0,0,1968,15.5,NA,NA,NA,NA,NA,NA,NA
"45","ZcTag092",180761,1,"Transmission","Mk10",13,"20:00:00 06-Aug-2019","00:00:00 07-Aug-2019",NA,NA,NA,20,0,640,7.5,NA,NA,NA,NA,NA,NA,NA
"46","ZcTag092",180761,1,"Transmission","Mk10",7,"00:00:00 07-Aug-2019","04:00:00 07-Aug-2019",NA,NA,NA,69,0.5,464,3.5,NA,NA,NA,NA,NA,NA,NA
"47","ZcTag092",180761,1,"Transmission","Mk10",9,"04:00:00 07-Aug-2019","08:00:00 07-Aug-2019",NA,NA,NA,71,0.5,376,3.5,NA,NA,NA,NA,NA,NA,NA
"48","ZcTag092",180761,1,"Transmission","Mk10",15,"08:00:00 07-Aug-2019","12:00:00 07-Aug-2019",NA,NA,NA,28,0,1840,15.5,NA,NA,NA,NA,NA,NA,NA
"49","ZcTag092",180761,1,"Transmission","Mk10",11,"12:00:00 07-Aug-2019","16:00:00 07-Aug-2019",NA,NA,NA,16,0,1680,15.5,NA,NA,NA,NA,NA,NA,NA
"50","ZcTag092",180761,1,"Transmission","Mk10",16,"16:00:00 07-Aug-2019","20:00:00 07-Aug-2019",NA,NA,NA,6,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA
"51","ZcTag092",180761,1,"Transmission","Mk10",10,"20:00:00 07-Aug-2019","00:00:00 08-Aug-2019",NA,NA,NA,11,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA
"52","ZcTag092",180761,1,"Transmission","Mk10",11,"00:00:00 08-Aug-2019","04:00:00 08-Aug-2019",NA,NA,NA,9,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"53","ZcTag092",180761,1,"Transmission","Mk10",9,"04:00:00 08-Aug-2019","08:00:00 08-Aug-2019",NA,NA,NA,25,0,1136,15.5,NA,NA,NA,NA,NA,NA,NA
"54","ZcTag092",180761,1,"Transmission","Mk10",4,"08:00:00 08-Aug-2019","12:00:00 08-Aug-2019",NA,NA,NA,33,0,1328,15.5,NA,NA,NA,NA,NA,NA,NA
"55","ZcTag092",180761,1,"Transmission","Mk10",7,"12:00:00 08-Aug-2019","16:00:00 08-Aug-2019",NA,NA,NA,12,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"56","ZcTag092",180761,1,"Transmission","Mk10",10,"16:00:00 08-Aug-2019","20:00:00 08-Aug-2019",NA,NA,NA,25,0,1136,15.5,NA,NA,NA,NA,NA,NA,NA
"57","ZcTag092",180761,1,"Transmission","Mk10",7,"20:00:00 08-Aug-2019","00:00:00 09-Aug-2019",NA,NA,NA,19,0,1136,15.5,NA,NA,NA,NA,NA,NA,NA
"58","ZcTag092",180761,1,"Transmission","Mk10",9,"00:00:00 09-Aug-2019","04:00:00 09-Aug-2019",NA,NA,NA,25,0,1136,15.5,NA,NA,NA,NA,NA,NA,NA
"59","ZcTag092",180761,1,"Transmission","Mk10",8,"04:00:00 09-Aug-2019","08:00:00 09-Aug-2019",NA,NA,NA,48,0,1040,15.5,NA,NA,NA,NA,NA,NA,NA
"60","ZcTag092",180761,1,"Transmission","Mk10",7,"08:00:00 09-Aug-2019","12:00:00 09-Aug-2019",NA,NA,NA,75,0.5,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"61","ZcTag092",180761,1,"Transmission","Mk10",8,"12:00:00 09-Aug-2019","16:00:00 09-Aug-2019",NA,NA,NA,61,0.5,1104,15.5,NA,NA,NA,NA,NA,NA,NA
