Tag,Date,Time,Lat,Long,DataSource,Vessel,Category,Error_in_m,SightingNo,Comments
ZcTag097,8/12/19,19:07:02,35.61147,-74.7078,Tracking,Barber,Distant,1000,4,
ZcTag097,8/12/19,13:13:00,35.65162,-74.73843,Sightings,Barber,Approach,200,4,
ZcTag097,8/19/19,17:30:26,35.75937,-74.7627,Tracking,Barber,Approach,200,5,
ZcTag097,8/19/19,17:53:55,35.75852,-74.76509,Tracking,Barber,Approach,200,5,
ZcTag097,8/19/19,18:16:28,35.75995,-74.7704,Tracking,Barber,Approach,200,5,
ZcTag097,8/19/19,18:40:26,35.75992,-74.76998,Tracking,Barber,Approach,200,5,
ZcTag097,8/19/19,19:06:08,35.76208,-74.77179,Tracking,Barber,Distant,1000,5,
ZcTag097,8/19/19,20:29:37,35.72483,-74.79322,Tracking,Barber,Gonio,2500,,
ZcTag097,8/19/19,21:02:15,35.7107,-74.79902,Tracking,Barber,Distant,1000,5,
ZcTag097,8/20/19,15:16:21,35.74156,-74.74949,Tracking,Kahuna,Distant,1000,1,
ZcTag097,8/20/19,15:44:57,35.73741,-74.74931,Tracking,Kahuna,Distant,1000,1,blows only
ZcTag097,8/20/19,17:03:21,35.73209,-74.76686,Tracking,Kahuna,Distant,1000,1,blows only
ZcTag097,8/20/19,17:29:45,35.72768,-74.77066,Tracking,Kahuna,Distant,1000,1,blows only
ZcTag097,8/20/19,17:53:45,35.72755,-74.75688,Tracking,Kahuna,Distant,1000,1,distant visual
ZcTag097,8/20/19,18:19:56,35.71958,-74.74448,Tracking,Kahuna,Distant,1000,1,
ZcTag097,8/20/19,18:48:18,35.71238,-74.74502,Tracking,Kahuna,Fluke,50,1,
ZcTag097,8/20/19,20:22:28,35.71635,-74.75849,Tracking,Kahuna,Gonio,2500,,
ZcTag097,8/20/19,19:05:11,35.7135,-74.73809,Tracking,Kahuna,Approach,200,1,
