DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
GmTag223,180764,Mk10,19:43:40 08-May-2019,,,0,45.8894,-26.6844,MaxWetDry (103) < MinWetDry (156),19:43:40 08-May-2019,Status,6,188,173,26,230,1,135,14,21,111,121,121,192,166,113,159,88,12,246,62,2,20,77,,,,,,,,,
GmTag223,180764,Mk10,19:44:43 08-May-2019,,,0,45.8894,-26.6844,CRC 5420.42523,19:44:43 08-May-2019,Status,4,156,174,59,41,1,167,49,167,212,224,5,192,80,164,165,64,0,3,21,44,127,192,,,,,,,,,
GmTag223,180764,Mk10,19:46:29 08-May-2019,,,0,45.8894,-26.6844,CRC 31919.54939,19:46:27 08-May-2018,Status,0,1,81,59,155,124,175,49,175,196,160,13,192,88,164,165,64,1,0,118,65,66,0,,,,,,,,,
GmTag223,180764,Mk10,23:31:01 08-May-2019,,,0,35.6237,-74.7661,Too short,,Behavior,190,236,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GmTag223,180764,Mk10,00:11:56 09-May-2019,,,0,35.7051,-74.7275,CRC 61131.57087,18:40:00 08-May-2019,Behavior,190,236,189,81,42,57,22,234,218,64,213,64,93,108,32,169,176,186,180,207,65,233,53,226,157,132,163,26,241,58,192,
GmTag223,180764,Mk10,00:27:15 09-May-2019,,,1,35.5898,-74.8453,CRC 35892.23861,00:27:15 09-May-2019,Status,4,165,18,6,205,2,129,49,199,212,143,245,194,108,147,253,64,5,3,140,52,109,128,,,,,,,,,
GmTag223,180764,Mk10,01:01:53 09-May-2019,,,B,35.5872,-74.7223,CRC 61130.3500,18:56:00 08-May-2017,Behavior,190,236,165,81,46,59,23,234,218,92,209,68,29,237,32,237,176,186,180,207,65,225,53,115,109,139,188,16,112,195,96,
GmTag223,180764,Mk10,01:12:48 09-May-2019,,,1,35.5574,-74.7634,CRC 61130.55624,18:04:00 26-May-2019,Behavior,190,236,173,117,33,36,26,118,150,63,109,148,134,119,5,217,155,10,36,114,141,19,190,137,49,46,66,119,98,3,168,
GmTag223,180764,Mk10,02:45:35 09-May-2019,,,B,35.5609,-74.7314,CRC 50505.63561,20:21:00 08-May-2019,Behavior,188,84,157,81,69,122,130,56,97,170,57,174,205,27,9,8,110,109,76,18,156,74,103,15,168,244,178,142,45,252,21,
GmTag223,180764,Mk10,14:42:41 10-Aug-2019,,,,,,CRC 11042.32748,00:28:00 09-Aug-2019,Behavior,178,178,46,18,7,57,184,218,152,67,65,197,133,168,11,132,19,10,243,61,12,194,149,230,6,162,251,106,193,1,64,
