"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"GmTag223",180764,16605,45.88937,-26.68437,0,05/08/2019 19:44:45,Argos,0,169,NP,,401677335.5,05/08/2019 19:43:40,1,4,0,-132,401677335.5,-26.68437,45.88937,-26.68437,45.88937,50,3,2738,16420,456,65,2280,6,188,173,26,230,1,135,14,21,111,121,121,192,166,113,159,88,12,246,62,2,20,77,,,,,,,,,
"GmTag223",180764,16605,45.88937,-26.68437,0,05/08/2019 19:44:45,Argos,0,169,NP,,401677335.5,05/08/2019 19:44:13,1,4,0,-132,401677335.5,-26.68437,45.88937,-26.68437,45.88937,50,3,2738,16420,456,65,2280,4,5,81,59,11,217,55,49,215,196,144,5,192,80,164,165,68,0,2,124,64,0,0,,,,,,,,,
"GmTag223",180764,16605,45.88937,-26.68437,0,05/08/2019 19:44:45,Argos,0,169,NP,,401677335.5,05/08/2019 19:44:43,1,4,0,-132,401677335.5,-26.68437,45.88937,-26.68437,45.88937,50,3,2738,16420,456,65,2280,4,156,174,59,41,1,167,49,167,212,224,5,192,80,164,165,64,0,3,21,44,127,192,,,,,,,,,
"GmTag223",180764,16605,45.88937,-26.68437,0,05/08/2019 19:44:45,Argos,0,169,NP,,401677335.5,05/08/2019 19:46:29,1,4,0,-132,401677335.5,-26.68437,45.88937,-26.68437,45.88937,50,3,2738,16420,456,65,2280,0,1,81,59,155,124,175,49,175,196,160,13,192,88,164,165,64,1,0,118,65,66,0,,,,,,,,,
"GmTag223",180764,16605,31.06437,-93.0755,Z,05/08/2019 21:19:49,Argos,0,500,NP,,401677716.12,05/08/2019 21:22:29,1,12,0,-121,401677716.12,-93.0755,31.06437,-93.0755,31.06437,31,0,566663,0,174638,85,361,190,236,173,81,42,57,22,234,218,64,213,64,93,108,32,233,176,186,180,207,65,233,53,226,157,132,163,10,241,187,208,
"GmTag223",180764,16605,31.06437,-93.0755,Z,05/08/2019 21:19:49,Argos,0,500,NP,,401677716.12,05/08/2019 21:25:36,11,12,0,-121,401677716.12,-93.0755,31.06437,-93.0755,31.06437,31,0,566663,0,174638,85,361,190,236,173,81,42,57,22,234,218,64,213,64,93,108,32,233,176,186,180,207,65,233,53,226,157,132,163,10,241,58,192,
"GmTag223",180764,16605,31.06437,-93.0755,Z,05/08/2019 21:19:49,Argos,0,500,NP,,401677716.12,05/08/2019 21:26:14,12,12,0,-121,401677716.12,-93.0755,31.06437,-93.0755,31.06437,31,0,566663,0,174638,85,361,190,236,173,81,42,57,22,234,218,64,213,64,93,108,32,233,176,186,180,207,65,233,53,226,157,132,163,10,241,58,192,
"GmTag223",180764,16605,35.59467,-74.82462,0,05/08/2019 22:29:58,Argos,0,140,NK,,401677344.41,05/08/2019 22:29:28,1,5,0,-127,401677344.41,-74.82462,35.59467,-45.17622,41.6916,58,4,3700,34766,393,81,3239,190,236,173,81,42,57,22,234,218,64,213,64,95,236,1,137,176,186,180,205,101,165,180,182,146,90,75,46,210,197,207,
"GmTag223",180764,16605,35.59467,-74.82462,0,05/08/2019 22:29:58,Argos,0,140,NK,,401677344.41,05/08/2019 22:30:35,3,5,0,-127,401677344.41,-74.82462,35.59467,-45.17622,41.6916,58,4,3700,34766,393,81,3239,190,236,173,81,42,57,22,234,218,64,213,64,93,108,32,233,176,186,180,207,65,233,53,226,157,132,163,10,241,58,192,
"GmTag223",180764,16605,35.59467,-74.82462,0,05/08/2019 22:29:58,Argos,0,140,NK,,401677344.41,05/08/2019 22:31:05,1,5,0,-127,401677344.41,-74.82462,35.59467,-45.17622,41.6916,58,4,3700,34766,393,81,3239,190,236,173,81,42,57,22,234,218,64,213,64,93,108,32,233,176,186,180,207,65,233,53,226,157,128,179,36,134,88,212,
