DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ZcTag083,180755,Mk10,DS,6,0,3,17,15,22:24:29 11-May-2019,NP,0,35.3053,-74.6192,35.3053,-74.6192,46,,401650000,-129
ZcTag083,180755,Mk10,DS,8,0,1,26,14,22:50:30 11-May-2019,NK,0,35.4928,-74.7112,35.4928,-74.7112,50,,401677492,-121
ZcTag083,180755,Mk10,DS,2,0,1,26,26,22:52:11 11-May-2019,SR,B,35.5188,-74.6955,35.5188,-74.6955,6,,401650000,-127
ZcTag083,180755,Mk10,DS,5,4,0,,,00:36:29 12-May-2019,NN,0,35.4567,-74.6933,35.4567,-74.6933,56,,401677490,-125
ZcTag083,180755,Mk10,DS,5,3,1,,,00:37:03 12-May-2019,SR,0,35.4440,-74.8488,35.4440,-74.8488,46,,401677437,-129
ZcTag083,180755,Mk10,DS,4,0,3,25,19,01:49:03 12-May-2019,MB,0,35.5980,-75.1163,35.5980,-75.1163,48,,401677442,-130
ZcTag083,180755,Mk10,DS,2,0,2,16,16,02:54:33 12-May-2019,MC,B,35.6783,-75.1442,35.6783,-75.1442,5,,401677525,-124
ZcTag083,180755,Mk10,DS,2,0,2,63,63,10:13:11 12-May-2019,SR,B,35.6831,-75.0617,35.6831,-75.0617,8,,401677448,-136
ZcTag083,180755,Mk10,DS,5,0,5,42,19,13:03:20 12-May-2019,NN,0,35.6513,-74.6168,35.6513,-74.6168,46,,401677538,-124
ZcTag083,180755,Mk10,DS,3,0,2,17,17,14:29:06 12-May-2019,MA,A,35.6166,-74.6026,35.6166,-74.6026,8,,401677524,-120
ZcTag083,180755,Mk10,DS,8,0,7,34,15,14:46:06 12-May-2019,NN,1,35.5531,-74.8757,35.5531,-74.8757,46,,401677449,-124
ZcTag083,180755,Mk10,DS,2,0,2,84,84,16:52:41 12-May-2019,MC,B,35.5341,-75.0900,35.5341,-75.0900,8,,401677437,-130
ZcTag083,180755,Mk10,DS,2,0,2,29,29,22:15:33 12-May-2019,NP,B,35.5698,-75.0867,35.5698,-75.0867,8,,401677402,-129
ZcTag083,180755,Mk10,DS,5,0,4,56,20,00:06:47 13-May-2019,SR,0,35.4957,-74.8190,35.4957,-74.8190,46,,401677445,-124
ZcTag083,180755,Mk10,DS,5,0,4,56,20,00:04:45 13-May-2019,NK,0,35.4935,-74.7228,35.4935,-74.7228,46,,401677509,-125
ZcTag083,180755,Mk10,DS,4,0,2,23,17,02:09:36 13-May-2019,NN,0,35.5141,-74.7810,35.5141,-74.7810,58,,401677460,-128
ZcTag083,180755,Mk10,DS,1,0,0,,,02:37:03 13-May-2019,MC,B,35.5097,-74.7628,35.5097,-74.7628,6,,401677469,-128
ZcTag083,180755,Mk10,DS,3,0,2,34,19,10:46:10 13-May-2019,NK,A,35.4993,-74.4758,35.4993,-74.4758,8,,401677480,-132
ZcTag083,180755,Mk10,DS,5,0,4,39,19,12:53:56 13-May-2019,NN,0,35.4714,-74.6479,35.4714,-74.6479,58,,401677469,-133
ZcTag083,180755,Mk10,DS,4,0,4,21,16,14:16:38 13-May-2019,MA,0,35.3286,-74.8775,35.3286,-74.8775,48,,401677457,-127
ZcTag083,180755,Mk10,DS,1,0,1,,,15:24:35 13-May-2019,MB,B,35.4491,-74.8813,35.4491,-74.8813,8,,401677332,-133
ZcTag083,180755,Mk10,DS,5,0,5,78,18,00:12:57 14-May-2019,NN,0,35.4573,-74.7163,35.4573,-74.7163,47,,401677453,-130
ZcTag083,180755,Mk10,DS,3,0,3,211,27,00:27:06 14-May-2019,MC,A,35.4736,-74.7018,35.4736,-74.7018,6,,401677433,-126
ZcTag083,180755,Mk10,DS,6,0,6,46,16,01:57:00 14-May-2019,NN,1,35.4646,-74.7600,35.4646,-74.7600,58,,401677428,-127
ZcTag083,180755,Mk10,DS,1,0,1,,,03:10:41 14-May-2019,MA,B,35.4635,-74.7904,35.4635,-74.7904,8,,401677417,-130
ZcTag083,180755,Mk10,DS,7,0,7,47,18,08:50:13 14-May-2019,NP,0,35.3866,-74.4359,35.3866,-74.4359,57,,401677475,-132
ZcTag083,180755,Mk10,DS,6,0,5,29,18,10:46:05 14-May-2019,SR,0,35.4179,-74.8770,35.4179,-74.8770,48,,401677488,-121
ZcTag083,180755,Mk10,DS,3,0,3,30,26,14:16:29 14-May-2019,NN,A,35.5336,-74.6871,35.5336,-74.6871,8,,401677457,-133
ZcTag083,180755,Mk10,DS,2,0,2,19,19,15:33:23 14-May-2019,MA,B,35.3665,-74.7024,35.3665,-74.7024,8,,401677449,-130
ZcTag083,180755,Mk10,DS,2,0,2,130,130,16:11:56 14-May-2019,MC,B,35.3476,-74.7259,35.3476,-74.7259,7,,401677402,-134
ZcTag083,180755,Mk10,DS,3,0,2,54,21,21:56:03 14-May-2019,NP,A,35.4928,-74.8616,35.4928,-74.8616,8,,401677455,-127
ZcTag083,180755,Mk10,DS,7,0,6,19,16,22:59:47 14-May-2019,SR,1,35.4666,-74.8851,35.4666,-74.8851,56,,401677512,-118
ZcTag083,180755,Mk10,DS,9,0,9,21,15,23:21:12 14-May-2019,NK,0,35.5084,-75.0004,35.5084,-75.0004,46,,401677436,-126
ZcTag083,180755,Mk10,DS,4,0,3,30,15,02:26:16 15-May-2019,MB,0,35.5855,-74.9554,35.5855,-74.9554,48,,401677458,-130
ZcTag083,180755,Mk10,DS,3,0,3,97,47,02:45:58 15-May-2019,MA,A,35.2970,-74.7754,35.2970,-74.7754,6,,401677547,-123
ZcTag083,180755,Mk10,DS,2,0,2,18,18,08:38:38 15-May-2019,NP,B,35.3520,-74.7782,35.3520,-74.7782,8,,401677450,-133
ZcTag083,180755,Mk10,DS,3,0,3,18,18,08:39:05 15-May-2019,SR,A,35.4212,-74.7352,35.4212,-74.7352,6,,401677462,-135
ZcTag083,180755,Mk10,DS,5,0,5,29,18,10:21:13 15-May-2019,NP,0,35.2908,-74.8797,35.2908,-74.8797,48,,401677457,-124
ZcTag083,180755,Mk10,DS,1,0,1,,,10:20:11 15-May-2019,SR,B,35.4031,-74.8119,35.4031,-74.8119,6,,401677512,-133
ZcTag083,180755,Mk10,DS,7,0,7,79,17,13:30:30 15-May-2019,MA,1,35.3097,-74.8361,35.3097,-74.8361,58,,401677484,-125
ZcTag083,180755,Mk10,DS,4,0,4,29,19,19:59:15 15-May-2019,NP,0,35.2491,-74.6346,35.2491,-74.6346,48,,401677497,-130
ZcTag083,180755,Mk10,DS,6,0,5,40,18,21:42:37 15-May-2019,NP,0,35.3855,-74.7292,35.3855,-74.7292,48,,401677417,-122
ZcTag083,180755,Mk10,DS,7,0,4,57,15,22:29:15 15-May-2019,SR,1,35.3260,-74.6726,35.3260,-74.6726,46,,401677455,-122
ZcTag083,180755,Mk10,DS,6,0,5,29,17,22:55:04 15-May-2019,NK,0,35.4367,-74.7721,35.4367,-74.7721,56,,401677437,-128
ZcTag083,180755,Mk10,DS,6,0,2,19,17,23:56:53 15-May-2019,NN,0,35.5386,-74.8088,35.5386,-74.8088,58,,401677436,-130
ZcTag083,180755,Mk10,DS,6,0,3,16,15,02:26:17 16-May-2019,MA,0,35.3400,-74.7826,35.3400,-74.7826,47,,401677482,-122
ZcTag083,180755,Mk10,DS,6,0,3,19,15,09:44:28 16-May-2019,SR,0,35.5156,-74.6416,35.5156,-74.6416,48,,401677488,-125
ZcTag083,180755,Mk10,DS,3,0,3,55,43,11:12:01 16-May-2019,NK,A,35.4872,-74.6227,35.4872,-74.6227,8,,401677486,-130
ZcTag083,180755,Mk10,DS,2,0,1,41,41,13:52:10 16-May-2019,NN,B,35.6017,-74.5540,35.6017,-74.5540,8,,401677490,-135
ZcTag083,180755,Mk10,DS,7,0,5,25,15,14:51:53 16-May-2019,MA,0,35.4666,-74.5483,35.4666,-74.5483,48,,401677449,-122
ZcTag083,180755,Mk10,DS,3,0,1,20,18,16:29:15 16-May-2019,MA,A,35.3829,-74.8048,35.3829,-74.8048,8,,401677415,-130
ZcTag083,180755,Mk10,DS,5,0,4,39,21,21:34:59 16-May-2019,NP,0,35.9704,-74.9303,35.9704,-74.9303,48,,401677456,-130
ZcTag083,180755,Mk10,DS,6,0,5,25,16,02:05:16 17-May-2019,MA,0,35.4763,-74.7295,35.4763,-74.7295,48,,401677485,-117
ZcTag083,180755,Mk10,DS,1,0,1,,,10:45:24 17-May-2019,NK,B,35.4370,-74.8924,35.4370,-74.8924,8,,401677413,-137
ZcTag083,180755,Mk10,DS,5,0,5,25,21,13:42:32 17-May-2019,NN,0,35.7295,-75.1590,35.7295,-75.1590,46,,401677523,-127
ZcTag083,180755,Mk10,DS,3,0,3,42,18,14:01:33 17-May-2019,NK,A,35.7195,-74.9821,35.7195,-74.9821,6,,401677480,-133
ZcTag083,180755,Mk10,DS,4,0,2,30,20,15:08:31 17-May-2019,MC,0,35.5703,-74.9598,35.5703,-74.9598,46,,401677519,-115
ZcTag083,180755,Mk10,DS,3,0,3,17,16,15:22:43 17-May-2019,NN,A,35.6088,-74.9145,35.6088,-74.9145,6,,401677448,-133
ZcTag083,180755,Mk10,DS,3,0,3,67,35,15:43:00 17-May-2019,MB,A,35.4646,-74.9545,35.4646,-74.9545,6,,401677456,-133
ZcTag083,180755,Mk10,DS,1,0,1,,,16:06:34 17-May-2019,MA,B,35.4643,-74.9524,35.4643,-74.9524,6,,401677442,-124
ZcTag083,180755,Mk10,DS,6,0,6,29,18,21:17:53 17-May-2019,NP,0,35.6234,-74.5205,35.6234,-74.5205,48,,401677484,-120
ZcTag083,180755,Mk10,DS,10,0,8,24,16,23:09:18 17-May-2019,SR,1,35.5530,-74.6275,35.5530,-74.6275,48,,401677483,-119
ZcTag083,180755,Mk10,DS,1,0,1,,,01:50:59 18-May-2019,MA,,,,,,,,401650000,
ZcTag083,180755,Mk10,DS,4,0,3,28,16,02:27:44 18-May-2019,MC,1,35.5862,-74.8218,35.5862,-74.8218,58,,401677466,-113
ZcTag083,180755,Mk10,DS,4,0,2,41,22,02:50:25 18-May-2019,NN,0,35.5368,-74.8980,35.5368,-74.8980,46,,401677489,-135
ZcTag083,180755,Mk10,DS,8,0,5,19,19,11:19:00 18-May-2019,NP,0,35.6711,-74.4654,35.6711,-74.4654,48,,401677522,-131
ZcTag083,180755,Mk10,DS,3,0,2,34,15,13:29:33 18-May-2019,NN,A,35.8843,-74.6896,35.8843,-74.6896,8,,401677455,-133
ZcTag083,180755,Mk10,DS,5,0,5,26,18,14:52:14 18-May-2019,MC,A,35.6461,-75.0082,35.6461,-75.0082,8,,401677437,-123
ZcTag083,180755,Mk10,DS,6,0,3,23,16,15:12:12 18-May-2019,NN,0,35.8298,-74.6639,35.8298,-74.6639,46,,401677512,-129
ZcTag083,180755,Mk10,DS,2,0,2,57,57,19:23:37 18-May-2019,NP,B,35.6215,-74.3093,35.6215,-74.3093,8,,401677495,-140
ZcTag083,180755,Mk10,DS,3,0,3,39,15,22:48:42 18-May-2019,NP,A,35.6215,-75.0724,35.6215,-75.0724,8,,401677524,-135
ZcTag083,180755,Mk10,DS,6,0,3,33,16,00:16:38 19-May-2019,SR,0,35.6164,-74.8951,35.6164,-74.8951,48,,401677465,-128
ZcTag083,180755,Mk10,DS,8,0,6,25,16,01:02:18 19-May-2019,NN,0,35.6566,-74.9916,35.6566,-74.9916,48,,401677445,-128
