DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
ZcTag083,180755,Mk10,Strong,11-May-2019,22:23:43,11-May-2019,22:23:44
ZcTag083,180755,Mk10,Strong,19-Jun-2019,21:39:41,19-Jun-2019,21:39:45
