DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
ZcTag082,180754,Mk10,Strong,13-May-2019,10:43:36,13-May-2019,10:43:39
ZcTag082,180754,Mk10,Strong,01-Jul-2019,23:02:47,01-Jul-2019,23:02:59
