DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ZcTag091,180777,Mk10,DS,2,0,2,54,54,20:38:10 29-Jul-2019,NP,,,,,,,,401650000,-133
ZcTag091,180777,Mk10,DS,2,0,2,33,33,21:53:31 29-Jul-2019,SR,,,,,,,,401650000,-138
ZcTag091,180777,Mk10,DS,4,0,4,28,16,23:31:57 29-Jul-2019,SR,1,36.4323,-79.5041,35.4806,-74.6532,60,,401677552,-122
ZcTag091,180777,Mk10,DS,5,0,5,35,15,00:22:51 30-Jul-2019,NN,0,35.5677,-74.8022,35.5677,-74.8022,48,,401677539,-127
ZcTag091,180777,Mk10,DS,2,0,2,30,30,00:41:44 30-Jul-2019,MC,B,35.5756,-74.8543,,,6,,401677539,-130
ZcTag091,180777,Mk10,DS,1,0,1,,,02:05:14 30-Jul-2019,NN,B,35.6320,-74.9111,35.6320,-74.9111,6,,401677619,-135
ZcTag091,180777,Mk10,DS,4,0,4,62,32,02:11:02 30-Jul-2019,MC,0,35.4810,-74.6794,35.4810,-74.6794,46,,401677550,-131
ZcTag091,180777,Mk10,DS,1,0,1,,,03:15:13 30-Jul-2019,MA,B,35.5219,-74.7449,35.5219,-74.7449,7,,401677574,-133
ZcTag091,180777,Mk10,DS,3,0,3,41,30,14:32:43 30-Jul-2019,MC,A,35.7013,-74.7806,35.7013,-74.7806,8,,401677603,-130
ZcTag091,180777,Mk10,DS,1,0,1,,,16:07:29 30-Jul-2019,NN,B,35.7129,-74.9541,35.7129,-74.9541,6,,401677643,-137
ZcTag091,180777,Mk10,DS,4,0,4,30,23,22:55:34 30-Jul-2019,SR,0,35.5991,-74.8950,35.5991,-74.8950,48,,401677623,-129
ZcTag091,180777,Mk10,DS,2,0,2,16,16,00:09:37 31-Jul-2019,NN,B,35.6222,-74.6652,35.6222,-74.6652,8,,401677512,-133
ZcTag091,180777,Mk10,DS,5,0,5,20,16,01:56:47 31-Jul-2019,MC,1,35.5123,-74.5573,35.5123,-74.5573,56,,401677555,-114
ZcTag091,180777,Mk10,DS,1,0,1,,,02:34:12 31-Jul-2019,MB,B,35.5059,-74.5403,35.5059,-74.5403,7,,401677570,-133
ZcTag091,180777,Mk10,DS,4,0,4,23,19,10:29:58 31-Jul-2019,NP,0,35.5683,-74.5171,35.5683,-74.5171,58,,401677543,-125
ZcTag091,180777,Mk10,DS,3,0,3,23,23,14:21:44 31-Jul-2019,MC,A,35.5172,-74.3019,35.5172,-74.3019,8,,401677546,-129
ZcTag091,180777,Mk10,DS,7,0,7,23,17,15:57:34 31-Jul-2019,MC,1,35.7341,-74.4598,35.7341,-74.4598,57,,401677567,-124
ZcTag091,180777,Mk10,DS,2,0,2,34,34,22:33:29 31-Jul-2019,SR,B,35.7956,-74.6612,35.7956,-74.6612,8,,401677515,-135
ZcTag091,180777,Mk10,DS,2,0,2,16,16,01:33:13 01-Aug-2019,NN,B,35.6886,-74.5439,35.6886,-74.5439,8,,401677537,-130
ZcTag091,180777,Mk10,DS,2,0,2,46,46,03:20:51 01-Aug-2019,MC,B,36.0449,-74.3501,36.0449,-74.3501,8,,401677543,-128
ZcTag091,180777,Mk10,DS,1,0,1,,,10:16:40 01-Aug-2019,NP,B,36.0165,-74.3949,36.0165,-74.3949,8,,401677570,-124
ZcTag091,180777,Mk10,DS,2,0,2,52,52,12:11:35 01-Aug-2019,NK,B,36.2149,-74.4157,36.2149,-74.4157,7,,401677598,-133
