DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
ZcTag092,180761,1.000000,Transmission,Mk10,35,12:00:00 30-Jul-2019,16:00:00 30-Jul-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,30,16:00:00 30-Jul-2019,20:00:00 30-Jul-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,33,20:00:00 30-Jul-2019,00:00:00 31-Jul-2019,,,,0.0,0.00,1104.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,26,00:00:00 31-Jul-2019,04:00:00 31-Jul-2019,,,,0.0,0.00,1392.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,25,04:00:00 31-Jul-2019,08:00:00 31-Jul-2019,,,,0.0,0.00,1520.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,30,08:00:00 31-Jul-2019,12:00:00 31-Jul-2019,,,,0.0,0.00,1712.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,29,12:00:00 31-Jul-2019,16:00:00 31-Jul-2019,,,,0.0,0.00,1776.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,16,16:00:00 31-Jul-2019,20:00:00 31-Jul-2019,,,,0.0,0.00,1456.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,26,20:00:00 31-Jul-2019,00:00:00 01-Aug-2019,,,,0.0,0.00,1232.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,23,00:00:00 01-Aug-2019,04:00:00 01-Aug-2019,,,,0.0,0.00,1456.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,21,04:00:00 01-Aug-2019,08:00:00 01-Aug-2019,,,,0.0,0.00,1616.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,21,08:00:00 01-Aug-2019,12:00:00 01-Aug-2019,,,,0.0,0.00,1424.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,19,12:00:00 01-Aug-2019,16:00:00 01-Aug-2019,,,,0.0,0.00,1488.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,15,16:00:00 01-Aug-2019,20:00:00 01-Aug-2019,,,,0.0,0.00,1456.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,15,20:00:00 01-Aug-2019,00:00:00 02-Aug-2019,,,,0.0,0.00,1744.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,15,00:00:00 02-Aug-2019,04:00:00 02-Aug-2019,,,,0.0,0.00,1392.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,17,04:00:00 02-Aug-2019,08:00:00 02-Aug-2019,,,,0.0,0.00,1232.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,10,08:00:00 02-Aug-2019,12:00:00 02-Aug-2019,,,,0.0,0.00,1232.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,18,12:00:00 02-Aug-2019,16:00:00 02-Aug-2019,,,,0.0,0.00,1232.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,17,16:00:00 02-Aug-2019,20:00:00 02-Aug-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,13,20:00:00 02-Aug-2019,00:00:00 03-Aug-2019,,,,0.0,0.00,1424.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,20,00:00:00 03-Aug-2019,04:00:00 03-Aug-2019,,,,0.0,0.00,1424.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,19,04:00:00 03-Aug-2019,08:00:00 03-Aug-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,18,08:00:00 03-Aug-2019,12:00:00 03-Aug-2019,,,,0.0,0.00,1136.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,11,12:00:00 03-Aug-2019,16:00:00 03-Aug-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,11,16:00:00 03-Aug-2019,20:00:00 03-Aug-2019,,,,0.0,0.00,1456.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,11,20:00:00 03-Aug-2019,00:00:00 04-Aug-2019,,,,0.0,0.00,1424.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,13,00:00:00 04-Aug-2019,04:00:00 04-Aug-2019,,,,0.0,0.00,1136.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,21,04:00:00 04-Aug-2019,08:00:00 04-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,13,08:00:00 04-Aug-2019,12:00:00 04-Aug-2019,,,,0.0,0.00,1200.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,12,12:00:00 04-Aug-2019,16:00:00 04-Aug-2019,,,,0.0,0.00,1200.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,17,16:00:00 04-Aug-2019,20:00:00 04-Aug-2019,,,,0.0,0.00,1200.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,13,20:00:00 04-Aug-2019,00:00:00 05-Aug-2019,,,,0.0,0.00,1040.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,13,00:00:00 05-Aug-2019,04:00:00 05-Aug-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,14,04:00:00 05-Aug-2019,08:00:00 05-Aug-2019,,,,0.0,0.00,1648.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,14,08:00:00 05-Aug-2019,12:00:00 05-Aug-2019,,,,5.0,0.00,1424.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,9,12:00:00 05-Aug-2019,16:00:00 05-Aug-2019,,,,0.0,0.00,1200.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,14,16:00:00 05-Aug-2019,20:00:00 05-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,11,20:00:00 05-Aug-2019,00:00:00 06-Aug-2019,,,,0.0,0.00,848.0,7.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,7,00:00:00 06-Aug-2019,04:00:00 06-Aug-2019,,,,0.0,0.00,1648.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,6,04:00:00 06-Aug-2019,08:00:00 06-Aug-2019,,,,35.0,0.00,608.0,7.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,12,08:00:00 06-Aug-2019,12:00:00 06-Aug-2019,,,,8.0,0.00,2096.0,31.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,7,12:00:00 06-Aug-2019,16:00:00 06-Aug-2019,,,,24.0,0.00,1488.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,13,16:00:00 06-Aug-2019,20:00:00 06-Aug-2019,,,,0.0,0.00,1968.0,15.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,13,20:00:00 06-Aug-2019,00:00:00 07-Aug-2019,,,,20.0,0.00,640.0,7.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,7,00:00:00 07-Aug-2019,04:00:00 07-Aug-2019,,,,69.0,0.50,464.0,3.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,9,04:00:00 07-Aug-2019,08:00:00 07-Aug-2019,,,,71.0,0.50,376.0,3.50,,,,,,,
ZcTag092,180761,1.000000,Transmission,Mk10,15,08:00:00 07-Aug-2019,12:00:00 07-Aug-2019,,,,28.0,0.00,1840.0,15.50,,,,,,,
