DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt
ZcTag092,180761,1.000000,Mk10,,01:43:34 09-Aug-2019,01:43:26 09-Aug-2019,-7,0,35.2640,-74.9360,CRC,0,0,,,,1.016,0.132,,99.0,1304.0,0,,,,,,,,,,,211,29,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,23:50:37 09-Aug-2019,23:50:29 09-Aug-2019,-7,0,35.2440,-74.6110,CRC,0,0,,,,1.016,0.140,,52.0,1304.0,0,,,,,,,,,,,201,29,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,11:22:17 11-Aug-2019,11:22:09 11-Aug-2019,-7,0,35.2240,-74.9920,CRC,0,0,,,,1.016,0.144,,54.0,2292.0,0,,,,,,,,,,,255,29,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,14:48:17 11-Aug-2019,14:48:08 11-Aug-2019,-8,0,35.0600,-75.1470,CRC,0,0,,,,1.016,0.132,,64.0,2292.0,0,,,,,,,,,,,213,29,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,01:48:10 13-Aug-2019,01:48:01 13-Aug-2019,-8,0,35.0440,-75.1720,CRC,0,0,,,,1.000,0.144,,-68.0,2424.0,0,,,,,,,,,,,255,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,14:51:40 13-Aug-2019,,B,35.0640,-74.8610,CRC,0,0,,5053,3.440,1.016,0.136,29.90,-47.0,2424.0,0,,,,,,,,,,,255,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,02:43:24 14-Aug-2019,,B,35.1810,-75.1050,CRC,0,0,,5245,3.440,1.016,0.140,29.90,65.0,1780.0,0,,,,,,,,,,,254,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,01:47:55 15-Aug-2019,,0,35.4390,-74.7300,CRC,0,0,,5565,3.376,1.008,0.136,29.40,18.0,2436.0,0,,,,,,,,,,,244,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,11:20:36 15-Aug-2019,11:20:27 15-Aug-2019,-8,0,35.4810,-74.5960,CRC,0,0,,,,1.016,0.144,,19.0,2436.0,0,,,,,,,,,,,89,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,12:59:33 15-Aug-2019,,0,35.4300,-74.5340,CRC,0,0,,5693,3.440,1.016,0.124,29.80,158.0,2436.0,0,,,,,,,,,,,233,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,01:00:41 17-Aug-2019,,0,35.1980,-74.9080,CRC,0,0,,6269,3.440,1.008,0.128,29.10,160.0,1568.0,0,,,,,,,,,,,220,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,02:29:19 18-Aug-2019,,B,36.8640,-77.0070,CRC,0,0,,6653,3.504,1.008,0.136,29.20,-69.0,2436.0,0,,,,,,,,,,,241,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,19:49:31 19-Aug-2019,,0,35.9340,-74.2360,CRC,0,0,,7293,3.376,1.016,0.144,29.30,47.0,2456.0,0,,,,,,,,,,,247,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,15:17:10 20-Aug-2019,15:16:59 20-Aug-2019,-10,0,35.4400,-74.6100,CRC,0,0,,,,1.016,0.144,,-78.0,1452.0,0,,,,,,,,,,,248,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,03:02:09 21-Aug-2019,03:01:57 21-Aug-2019,-11,B,35.1880,-75.0940,CRC,0,0,,,,1.008,0.164,,-63.0,1316.0,0,,,,,,,,,,,234,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,14:44:41 21-Aug-2019,14:44:30 21-Aug-2019,-10,0,34.7560,-75.1820,CRC,0,0,,,,1.016,0.144,,133.0,1316.0,0,,,,,,,,,,,247,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,09:54:48 23-Aug-2019,09:54:36 23-Aug-2019,-11,B,35.4050,-75.9480,CRC,0,0,,,,1.008,0.132,,8.0,1336.0,0,,,,,,,,,,,93,28,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,10:55:32 24-Aug-2019,10:55:20 24-Aug-2019,-11,0,35.7720,-75.0570,CRC,0,0,,,,1.008,0.260,,-16.0,2404.0,0,,,,,,,,,,,194,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,01:00:31 25-Aug-2019,,1,35.3180,-74.8980,CRC,0,0,,9277,3.504,1.008,0.136,30.20,-12.0,1700.0,0,,,,,,,,,,,169,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,19:58:48 27-Aug-2019,,0,35.3780,-74.9240,CRC,0,0,,10301,3.248,1.016,0.288,28.90,-68.0,1628.0,0,,,,,,,,,,,96,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,02:46:01 28-Aug-2019,,0,35.1440,-74.1860,,0,0,,10429,3.376,1.016,0.136,28.90,115.0,1776.0,0,,,,,,,,,,,,27,255,89,432,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,02:57:48 29-Aug-2019,02:57:35 29-Aug-2019,-12,1,35.0740,-75.0510,CRC,0,0,,,,1.000,0.128,,32.0,2652.0,0,,,,,,,,,,,203,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,14:16:35 29-Aug-2019,,0,35.1560,-74.8590,CRC,0,0,,11005,3.376,1.016,0.140,28.60,154.0,2652.0,0,,,,,,,,,,,255,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,03:16:30 30-Aug-2019,,1,35.1200,-75.0070,CRC,0,0,,11261,3.440,1.008,0.144,29.00,46.0,2328.0,0,,,,,,,,,,,193,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,14:29:17 30-Aug-2019,,1,35.3530,-74.6970,CRC,0,0,,11389,3.376,1.016,0.140,29.10,158.0,2328.0,0,,,,,,,,,,,189,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,20:59:17 30-Aug-2019,,0,35.1860,-75.4730,CRC,0,0,,11517,3.440,1.008,0.132,29.10,9.0,2328.0,0,,,,,,,,,,,137,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,23:32:46 30-Aug-2019,23:32:32 30-Aug-2019,-13,0,35.3210,-74.7450,CRC,0,0,,,,1.016,0.136,,100.0,2328.0,0,,,,,,,,,,,245,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,14:34:31 02-Sep-2019,14:34:16 02-Sep-2019,-14,0,35.5660,-74.6160,CRC,0,0,,,,1.016,0.144,,57.0,1712.0,0,,,,,,,,,,,213,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,21:54:36 03-Sep-2019,,0,35.3710,-74.5550,CRC,0,0,,13053,3.376,1.008,0.144,28.90,84.0,1592.0,0,,,,,,,,,,,142,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,14:47:46 04-Sep-2019,14:47:30 04-Sep-2019,-15,0,35.4430,-74.4530,CRC,0,0,,,,1.016,0.136,,19.0,2016.0,0,,,,,,,,,,,255,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,14:34:21 05-Sep-2019,,Z,35.6170,-75.0920,CRC,0,0,,13629,3.376,1.016,0.140,28.20,12.0,1716.0,0,,,,,,,,,,,202,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,23:15:21 06-Sep-2019,23:15:05 06-Sep-2019,-15,0,35.4920,-74.8920,CRC,0,0,,,,1.016,0.148,,133.0,1580.0,0,,,,,,,,,,,126,27,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,23:00:16 07-Sep-2019,22:59:59 07-Sep-2019,-16,0,35.3830,-74.8720,CRC,0,0,,,,1.016,0.144,,142.0,2136.0,0,,,,,,,,,,,237,26,255,89,256,,,,,,,,,,
ZcTag092,180761,1.000000,Mk10,,,00:22:07 08-Sep-2019,,0,35.5370,-74.7940,CRC,0,0,,14653,3.248,1.008,0.128,27.20,-47.0,1648.0,0,,,,,,,,,,,160,27,255,89,256,,,,,,,,,,
