DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
ZcTag093,180763,Mk10,Strong,27-May-2019,15:06:16,27-May-2019,15:05:59
ZcTag093,180763,Mk10,Strong,12-Aug-2019,21:09:01,12-Aug-2019,21:09:04
