DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ZcTag093,180763,Mk10,15:06:31 27-May-2019,Argos,0,35.6418,-74.6303,20236,51478,7954,89,,,,,,
ZcTag093,180763,Mk10,15:07:36 27-May-2019,Argos,0,35.6680,-74.6462,2881,21168,392,111,,,,,,
ZcTag093,180763,Mk10,14:26:13 30-Jul-2019,Argos,2,35.5342,-74.7986,364,3752,35,112,,,,,,
ZcTag093,180763,Mk10,20:23:25 30-Jul-2019,Argos,A,35.6531,-74.7884,2507,8254,761,91,,,,,,
ZcTag093,180763,Mk10,22:43:01 30-Jul-2019,Argos,0,35.5906,-74.6742,4076,20291,818,16,,,,,,
ZcTag093,180763,Mk10,00:18:30 31-Jul-2019,Argos,B,35.5821,-74.6534,5659,6093,5254,35,,,,,,
ZcTag093,180763,Mk10,00:18:38 31-Jul-2019,Argos,A,35.6426,-74.5969,4151,16821,1024,102,,,,,,
ZcTag093,180763,Mk10,01:56:44 31-Jul-2019,Argos,1,35.5634,-74.6530,982,3932,245,85,,,,,,
ZcTag093,180763,Mk10,03:35:55 31-Jul-2019,Argos,B,35.5542,-74.6429,6452,8709,4779,86,,,,,,
ZcTag093,180763,Mk10,10:26:06 31-Jul-2019,Argos,0,35.5586,-74.6510,5464,289528,103,103,,,,,,
ZcTag093,180763,Mk10,11:50:27 31-Jul-2019,Argos,B,35.5219,-74.5488,6044,17292,2112,98,,,,,,
ZcTag093,180763,Mk10,14:11:58 31-Jul-2019,Argos,B,35.6061,-74.9192,5463,56768,525,89,,,,,,
ZcTag093,180763,Mk10,14:11:58 31-Jul-2019,Argos,A,35.6060,-74.9234,5631,60197,526,88,,,,,,
ZcTag093,180763,Mk10,20:13:55 31-Jul-2019,Argos,0,35.7001,-75.0331,6400,51736,791,68,,,,,,
ZcTag093,180763,Mk10,22:29:03 31-Jul-2019,Argos,0,35.4839,-74.5816,2229,7522,660,45,,,,,,
ZcTag093,180763,Mk10,23:57:36 31-Jul-2019,Argos,0,35.5058,-74.7724,1515,2392,959,5,,,,,,
ZcTag093,180763,Mk10,23:59:00 31-Jul-2019,Argos,B,35.4425,-74.6434,6294,22251,1780,116,,,,,,
ZcTag093,180763,Mk10,01:41:14 01-Aug-2019,Argos,A,35.6327,-74.7517,22525,47369,10711,101,,,,,,
ZcTag093,180763,Mk10,09:45:33 01-Aug-2019,Argos,0,35.6361,-74.8550,2071,22724,188,66,,,,,,
ZcTag093,180763,Mk10,10:12:11 01-Aug-2019,Argos,0,35.6504,-74.8409,3813,21670,671,87,,,,,,
ZcTag093,180763,Mk10,10:37:40 01-Aug-2019,Argos,B,35.6126,-74.8523,10538,21282,5217,90,,,,,,
ZcTag093,180763,Mk10,13:58:40 01-Aug-2019,Argos,0,35.6426,-74.7804,17457,188422,1617,92,,,,,,
ZcTag093,180763,Mk10,13:59:01 01-Aug-2019,Argos,0,35.4462,-74.7509,2709,28181,260,95,,,,,,
ZcTag093,180763,Mk10,14:27:37 01-Aug-2019,Argos,A,35.5520,-74.8020,30807,249584,3802,96,,,,,,
ZcTag093,180763,Mk10,21:44:17 01-Aug-2019,Argos,0,35.7261,-74.9588,8759,80074,958,81,,,,,,
ZcTag093,180763,Mk10,23:40:15 01-Aug-2019,Argos,B,35.3784,-75.2023,39564,328194,4769,84,,,,,,
ZcTag093,180763,Mk10,23:41:02 01-Aug-2019,Argos,A,35.4120,-74.5138,46903,274410,8016,81,,,,,,
ZcTag093,180763,Mk10,01:24:09 02-Aug-2019,Argos,0,35.5492,-74.6549,4617,67733,314,84,,,,,,
ZcTag093,180763,Mk10,01:48:07 02-Aug-2019,Argos,1,35.5569,-74.7207,502,2170,116,50,,,,,,
ZcTag093,180763,Mk10,10:00:40 02-Aug-2019,Argos,0,35.6732,-74.8478,2469,39604,153,95,,,,,,
ZcTag093,180763,Mk10,10:47:21 02-Aug-2019,Argos,A,35.5551,-74.6864,2910,11719,722,65,,,,,,
ZcTag093,180763,Mk10,13:32:05 02-Aug-2019,Argos,A,35.6196,-74.5708,10302,23650,4487,92,,,,,,
ZcTag093,180763,Mk10,13:32:28 02-Aug-2019,Argos,0,35.5737,-74.8748,5763,21430,1549,131,,,,,,
ZcTag093,180763,Mk10,15:25:36 02-Aug-2019,Argos,0,35.7773,-74.6296,12070,50535,2882,123,,,,,,
ZcTag093,180763,Mk10,21:27:34 02-Aug-2019,Argos,0,35.6377,-74.6402,2337,22096,247,87,,,,,,
ZcTag093,180763,Mk10,23:02:23 02-Aug-2019,Argos,0,35.6410,-74.8319,5898,96469,360,93,,,,,,
ZcTag093,180763,Mk10,23:03:47 02-Aug-2019,Argos,0,35.6339,-74.8696,15912,107485,2355,94,,,,,,
ZcTag093,180763,Mk10,23:04:29 02-Aug-2019,Argos,B,35.6400,-74.8216,4844,26081,899,93,,,,,,
ZcTag093,180763,Mk10,23:29:26 02-Aug-2019,Argos,A,35.5852,-74.6748,9777,19944,4792,71,,,,,,
ZcTag093,180763,Mk10,01:28:07 03-Aug-2019,Argos,B,35.6068,-74.6896,8620,50441,1473,140,,,,,,
ZcTag093,180763,Mk10,10:22:45 03-Aug-2019,Argos,0,35.6719,-74.9224,27431,394915,1905,62,,,,,,
ZcTag093,180763,Mk10,13:13:08 03-Aug-2019,Argos,0,35.7631,-74.6206,4421,15570,1255,141,,,,,,
ZcTag093,180763,Mk10,13:35:17 03-Aug-2019,Argos,1,35.6513,-74.7406,1371,5352,350,112,,,,,,
ZcTag093,180763,Mk10,15:32:32 03-Aug-2019,Argos,B,35.6857,-74.6821,11930,14908,9546,88,,,,,,
ZcTag093,180763,Mk10,21:14:30 03-Aug-2019,Argos,1,35.5416,-74.7367,516,2762,96,59,,,,,,
ZcTag093,180763,Mk10,23:25:37 03-Aug-2019,Argos,B,35.5519,-74.7018,2843,3412,2368,79,,,,,,
ZcTag093,180763,Mk10,00:12:24 04-Aug-2019,Argos,1,35.6245,-74.7687,1310,8174,209,82,,,,,,
ZcTag093,180763,Mk10,01:05:20 04-Aug-2019,Argos,0,35.6970,-74.8386,8837,30272,2579,58,,,,,,
ZcTag093,180763,Mk10,01:05:49 04-Aug-2019,Argos,B,35.6718,-74.8232,2539,6049,1065,62,,,,,,
ZcTag093,180763,Mk10,09:42:19 04-Aug-2019,Argos,0,35.4150,-74.8079,6646,46988,940,89,,,,,,
ZcTag093,180763,Mk10,09:44:13 04-Aug-2019,Argos,B,35.4153,-74.8043,6648,21729,2033,89,,,,,,
ZcTag093,180763,Mk10,11:31:23 04-Aug-2019,Argos,0,35.5909,-74.7975,6012,51211,705,86,,,,,,
ZcTag093,180763,Mk10,12:43:46 04-Aug-2019,Argos,0,35.4030,-74.8108,24150,202229,2884,88,,,,,,
ZcTag093,180763,Mk10,16:09:57 04-Aug-2019,Argos,B,35.5036,-74.6867,25766,48922,13570,110,,,,,,
ZcTag093,180763,Mk10,23:40:05 04-Aug-2019,Argos,0,35.4978,-74.4772,7636,108562,537,115,,,,,,
ZcTag093,180763,Mk10,00:04:23 05-Aug-2019,Argos,B,35.4987,-74.4812,10847,18959,6206,110,,,,,,
ZcTag093,180763,Mk10,00:50:18 05-Aug-2019,Argos,1,35.5654,-74.6810,1346,5824,311,102,,,,,,
ZcTag093,180763,Mk10,02:26:06 05-Aug-2019,Argos,1,35.5405,-74.7809,795,2079,304,123,,,,,,
ZcTag093,180763,Mk10,02:31:18 05-Aug-2019,Argos,B,35.5405,-74.7857,1364,1833,1015,109,,,,,,
ZcTag093,180763,Mk10,03:34:28 05-Aug-2019,Argos,B,35.5816,-74.8735,11827,15910,8792,92,,,,,,
ZcTag093,180763,Mk10,13:54:40 05-Aug-2019,Argos,B,35.6123,-74.9662,1616,13749,190,34,,,,,,
ZcTag093,180763,Mk10,14:17:04 05-Aug-2019,Argos,B,35.5597,-75.0218,3397,6583,1752,40,,,,,,
ZcTag093,180763,Mk10,20:56:20 05-Aug-2019,Argos,B,35.5857,-75.2527,6085,7667,4828,68,,,,,,
ZcTag093,180763,Mk10,23:13:52 05-Aug-2019,Argos,0,35.5938,-74.9747,3352,121734,92,102,,,,,,
ZcTag093,180763,Mk10,01:35:03 06-Aug-2019,Argos,0,35.5671,-74.8635,4518,50643,403,59,,,,,,
ZcTag093,180763,Mk10,11:51:03 06-Aug-2019,Argos,2,35.5390,-74.6954,395,767,203,51,,,,,,
ZcTag093,180763,Mk10,14:23:10 06-Aug-2019,Argos,0,35.6282,-74.7147,10786,71705,1622,86,,,,,,
ZcTag093,180763,Mk10,14:45:46 06-Aug-2019,Argos,0,35.5488,-74.8965,8947,89522,894,101,,,,,,
ZcTag093,180763,Mk10,15:36:56 06-Aug-2019,Argos,A,35.4135,-74.7224,9085,33565,2459,85,,,,,,
ZcTag093,180763,Mk10,22:40:17 06-Aug-2019,Argos,0,35.4391,-74.7106,2119,5590,802,140,,,,,,
ZcTag093,180763,Mk10,23:11:40 06-Aug-2019,Argos,B,35.4565,-74.7332,8340,10000,6954,85,,,,,,
