DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
ZcTag093,180763,1.000000,Transmission,Mk10,3,12:00:00 05-Aug-2019,16:00:00 05-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,5,16:00:00 05-Aug-2019,20:00:00 05-Aug-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,20:00:00 05-Aug-2019,00:00:00 06-Aug-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,00:00:00 06-Aug-2019,04:00:00 06-Aug-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,08:00:00 06-Aug-2019,12:00:00 06-Aug-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,16:00:00 06-Aug-2019,20:00:00 06-Aug-2019,,,,0.0,0.00,1392.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,20:00:00 06-Aug-2019,00:00:00 07-Aug-2019,,,,0.0,0.00,688.0,7.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,20:00:00 07-Aug-2019,00:00:00 08-Aug-2019,,,,0.0,0.00,1232.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,00:00:00 08-Aug-2019,04:00:00 08-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,08:00:00 08-Aug-2019,12:00:00 08-Aug-2019,,,,0.0,0.00,1808.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,4,12:00:00 08-Aug-2019,16:00:00 08-Aug-2019,,,,0.0,0.00,1456.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,16:00:00 08-Aug-2019,20:00:00 08-Aug-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,00:00:00 09-Aug-2019,04:00:00 09-Aug-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,08:00:00 09-Aug-2019,12:00:00 09-Aug-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,12:00:00 09-Aug-2019,16:00:00 09-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,16:00:00 09-Aug-2019,20:00:00 09-Aug-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,20:00:00 09-Aug-2019,00:00:00 10-Aug-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,00:00:00 10-Aug-2019,04:00:00 10-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,04:00:00 10-Aug-2019,08:00:00 10-Aug-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,08:00:00 10-Aug-2019,12:00:00 10-Aug-2019,,,,0.0,0.00,1456.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,12:00:00 10-Aug-2019,16:00:00 10-Aug-2019,,,,0.0,0.00,1424.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,16:00:00 10-Aug-2019,20:00:00 10-Aug-2019,,,,0.0,0.00,1136.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,20:00:00 10-Aug-2019,00:00:00 11-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,00:00:00 11-Aug-2019,04:00:00 11-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,04:00:00 11-Aug-2019,08:00:00 11-Aug-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,08:00:00 11-Aug-2019,12:00:00 11-Aug-2019,,,,0.0,0.00,1200.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,16:00:00 11-Aug-2019,20:00:00 11-Aug-2019,,,,0.0,0.00,1136.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,20:00:00 11-Aug-2019,00:00:00 12-Aug-2019,,,,0.0,0.00,944.0,7.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,00:00:00 12-Aug-2019,04:00:00 12-Aug-2019,,,,0.0,0.00,1392.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,08:00:00 12-Aug-2019,12:00:00 12-Aug-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,12:00:00 12-Aug-2019,16:00:00 12-Aug-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,16:00:00 12-Aug-2019,20:00:00 12-Aug-2019,,,,0.0,0.00,1200.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,20:00:00 12-Aug-2019,00:00:00 13-Aug-2019,,,,0.0,0.00,1072.0,15.50,,,,,,,
