DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
ZcTag093,180763,Mk10,15:05:44 27-May-2019,,,0,35.6680,-74.6462,CRC 24946.40779,15:05:44 27-May-2019,Status,4,149,94,241,129,1,132,115,7,205,208,3,32,81,61,61,68,0,3,97,114,127,200,,,,,,,,,
ZcTag093,180763,Mk10,15:05:59 27-May-2019,,,0,35.6680,-74.6462,CRC 53409.4271,15:06:16 27-May-2019,Status,4,5,118,241,144,208,161,51,23,197,192,3,32,81,61,61,64,64,2,127,192,0,0,,,,,,,,,
ZcTag093,180763,Mk10,15:07:59 27-May-2019,,,0,35.6680,-74.6462,CRC 6333.55624,15:08:16 27-May-2019,Status,4,5,118,242,16,24,189,50,231,197,48,3,32,81,61,61,64,0,11,255,192,0,0,,,,,,,,,
ZcTag093,180763,Mk10,15:09:14 27-May-2019,,,0,35.6680,-74.6462,CRC 46425.21880,15:09:14 27-May-2019,Status,4,157,106,242,95,1,146,50,39,149,0,3,32,81,61,61,64,0,3,181,89,127,192,,,,,,,,,
ZcTag093,180763,Mk10,15:06:29 27-May-2019,,,0,35.6418,-74.6303,CRC 17823.36393,15:06:46 27-May-2019,Status,4,5,118,241,174,69,159,50,247,197,224,3,32,81,57,121,196,0,2,127,192,0,0,,,,,,,,,
ZcTag093,180763,Mk10,15:07:14 27-May-2019,,,0,35.6418,-74.6303,CRC 20281.46854,15:07:14 27-May-2019,Status,4,157,90,241,223,1,138,50,231,198,64,3,97,80,61,61,64,0,3,79,57,127,193,,,,,,,,,
ZcTag093,180763,Mk10,14:25:35 30-Jul-2019,,,2,35.5342,-74.7986,CRC 52526.32340,14:25:35 30-Jul-2019,Status,4,141,84,230,97,1,175,50,39,213,15,245,176,80,160,161,68,0,3,205,46,39,123,,,,,,,,,
ZcTag093,180763,Mk10,14:25:49 30-Jul-2019,,,2,35.5342,-74.7986,CRC 29647.27488,14:25:48 30-Jul-2019,Status,4,5,252,230,112,115,207,59,155,136,116,182,131,164,154,254,201,179,102,76,217,155,51,,,,,,,,,
ZcTag093,180763,Mk10,22:42:37 30-Jul-2019,,,0,35.5906,-74.6742,CRC 26660.14818,22:42:37 30-Jul-2019,Status,4,141,77,34,133,2,59,58,38,197,18,13,178,88,160,225,72,0,3,104,36,14,192,,,,,,,,,
ZcTag093,180763,Mk10,00:20:22 31-Jul-2019,,,A,35.6426,-74.5969,CRC 61552.12611,,TimeSeries,223,7,15,252,130,205,135,223,255,255,255,255,255,255,255,255,255,255,255,255,0,63,240,5,255,2,127,224,31,224,15,
ZcTag093,180763,Mk10,00:18:30 31-Jul-2019,,,B,35.5821,-74.6534,CRC 61552.64332,,TimeSeries,223,7,13,189,192,227,70,67,51,0,59,191,197,224,238,76,130,97,64,2,20,2,8,10,198,253,48,9,208,86,12,
ZcTag093,180763,Mk10,20:13:30 31-Jul-2019,,,0,35.7001,-75.0331,Status Version: 3,20:13:29 31-Jul-2019,Status,12,5,255,67,93,223,203,49,231,197,63,245,181,68,151,253,68,4,2,127,192,0,0,,,,,,,,,
ZcTag093,180763,Mk10,20:14:25 31-Jul-2019,,,0,35.7001,-75.0331,CRC 31178.38912,20:00:00 30-Jul-2019,TimeSeries,215,156,173,253,72,0,184,158,33,73,226,24,39,191,187,187,183,45,138,106,77,98,93,18,33,212,98,96,146,197,252,
ZcTag093,180763,Mk10,01:41:35 01-Aug-2019,,,A,35.6327,-74.7517,CRC 40543.41940,08:00:00 29-Jul-2019,TimeSeries,217,229,253,250,136,0,78,194,23,252,109,219,179,229,93,121,255,45,6,113,172,125,174,65,80,216,73,50,230,29,108,
ZcTag093,180763,Mk10,09:46:30 01-Aug-2019,,,0,35.6361,-74.8550,CRC 57806.11732,04:00:00 01-Aug-2019,TimeSeries,222,28,238,2,72,0,219,182,141,29,65,93,135,29,200,157,129,51,183,187,150,213,89,1,2,39,119,167,140,36,159,
ZcTag093,180763,Mk10,09:47:00 01-Aug-2019,,,0,35.6361,-74.8550,CRC 53458.7382,,TimeSeries,221,13,33,255,200,0,243,41,130,41,193,226,28,24,167,129,104,67,185,61,117,222,62,194,84,106,224,115,184,120,246,
ZcTag093,180763,Mk10,10:37:33 01-Aug-2019,,,B,35.6126,-74.8523,Too short,,TimeSeries,219,35,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZcTag093,180763,Mk10,10:37:49 01-Aug-2019,,,B,35.6126,-74.8523,CRC 5553.64253,04:00:00 31-Jul-2018,TimeSeries,209,91,25,254,72,0,155,187,187,251,242,228,150,38,9,66,97,74,38,32,128,251,255,255,171,187,43,130,37,197,164,
ZcTag093,180763,Mk10,14:00:20 01-Aug-2019,,,0,35.4462,-74.7509,CRC 53458.37653,04:00:00 31-Jul-2019,TimeSeries,221,13,45,254,72,0,251,41,130,33,193,98,4,26,33,66,59,255,187,187,114,156,34,88,94,32,21,225,65,157,204,
ZcTag093,180763,Mk10,13:59:18 01-Aug-2019,,,0,35.6426,-74.7804,CRC 58267.2653,,Fluorometer,238,57,189,253,136,0,13,0,76,182,136,187,241,182,223,201,56,26,179,235,4,197,213,204,132,164,107,43,205,11,73,
ZcTag093,180763,Mk10,14:28:04 01-Aug-2019,,,A,35.5520,-74.8020,Too short,,TimeSeries,223,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZcTag093,180763,Mk10,13:32:21 02-Aug-2019,,,0,35.5737,-74.8748,Too short,,TimeSeries,215,158,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZcTag093,180763,Mk10,13:31:50 02-Aug-2019,,,A,35.6196,-74.5708,CRC 61918.39696,,TimeSeries,223,29,235,110,172,175,115,3,222,87,71,255,7,14,230,48,55,129,223,31,94,185,95,28,232,49,92,156,126,93,150,
ZcTag093,180763,Mk10,15:26:03 02-Aug-2019,,,0,35.7773,-74.6296,Too short,,TimeSeries,216,2,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZcTag093,180763,Mk10,21:27:19 02-Aug-2019,,,0,35.6377,-74.6402,CRC 52443.2608,21:15:12 02-Aug-2019,Status,4,6,5,83,204,204,219,28,91,50,78,141,4,11,102,206,189,20,195,38,100,65,59,,,,,,,,,
ZcTag093,180763,Mk10,21:28:59 02-Aug-2019,,,0,35.6377,-74.6402,CRC 12916.46329,,TimeSeries,211,39,79,97,24,206,243,19,54,112,144,123,73,147,224,119,24,176,134,167,23,144,90,18,232,48,163,96,6,7,42,
ZcTag093,180763,Mk10,23:03:18 02-Aug-2019,,,0,35.6339,-74.8696,Too short,,LinkedTemperature,199,69,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZcTag093,180763,Mk10,23:03:51 02-Aug-2019,,,0,35.6339,-74.8696,Too short,,TimeSeries,217,96,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZcTag093,180763,Mk10,23:04:29 02-Aug-2019,,,B,35.6400,-74.8216,CRC 4377.24900,12:00:00 01-Aug-2019,TimeSeries,209,17,158,2,200,1,59,187,183,119,46,129,166,88,174,201,91,174,4,48,213,246,189,194,127,188,40,79,229,143,98,
