DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
ZcTag085,180756,1.000000,Transmission,Mk10,17,12:00:00 27-May-2019,16:00:00 27-May-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag085,180756,1.000000,Transmission,Mk10,25,16:00:00 27-May-2019,20:00:00 27-May-2019,,,,0.0,0.00,1456.0,15.50,,,,,,,
ZcTag085,180756,1.000000,Transmission,Mk10,21,20:00:00 27-May-2019,00:00:00 28-May-2019,,,,0.0,0.00,1136.0,15.50,,,,,,,
ZcTag085,180756,1.000000,Transmission,Mk10,13,00:00:00 28-May-2019,04:00:00 28-May-2019,,,,0.0,0.00,1136.0,15.50,,,,,,,
ZcTag085,180756,1.000000,Transmission,Mk10,16,04:00:00 28-May-2019,08:00:00 28-May-2019,,,,0.0,0.00,1012.0,11.50,,,,,,,
ZcTag085,180756,1.000000,Transmission,Mk10,7,08:00:00 28-May-2019,12:00:00 28-May-2019,,,,0.0,0.00,1104.0,15.50,,,,,,,
ZcTag085,180756,1.000000,Transmission,Mk10,13,12:00:00 28-May-2019,16:00:00 28-May-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag085,180756,1.000000,Transmission,Mk10,7,16:00:00 28-May-2019,20:00:00 28-May-2019,,,,0.0,0.00,1904.0,15.50,,,,,,,
ZcTag085,180756,1.000000,Transmission,Mk10,8,20:00:00 28-May-2019,00:00:00 29-May-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag085,180756,1.000000,Transmission,Mk10,9,00:00:00 29-May-2019,04:00:00 29-May-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag085,180756,1.000000,Transmission,Mk10,9,04:00:00 29-May-2019,08:00:00 29-May-2019,,,,0.0,0.00,1072.0,15.50,,,,,,,
